85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:14:47"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  80.3427, 146.0404
 211697863.8492,  79.9605, 137.3886
 223395727.6984,  79.6936, 129.7875
 235093591.5477,  79.2778, 122.9072
 246791455.3969,  78.8918, 116.8364
 258489319.2461,  78.7098, 111.3553
 270187183.0953,  78.4821, 106.3079
 281885046.9446,  78.3157, 101.6525
 293582910.7938,  78.0798,  97.4942
 305280774.6430,  77.8144,  93.6462
 316978638.4922,  77.7299,  90.0904
 335518503.2732,  77.4735,  85.0497
 354058368.0542,  77.2891,  80.5768
 372598232.8351,  76.9462,  76.5305
 391138097.6161,  76.9348,  72.9551
 409677962.3971,  76.7613,  69.6959
 428217827.1780,  76.6345,  66.7528
 446757691.9590,  76.4940,  64.0844
 465297556.7400,  76.4019,  61.6012
 483837421.5209,  76.2447,  59.3574
 502377286.3019,  76.1275,  57.2101
 531760991.7824,  75.8096,  54.1132
 561144697.2629,  75.6546,  51.2560
 590528402.7434,  75.9038,  48.9607
 619912108.2239,  75.7313,  46.7606
 649295813.7045,  75.7862,  44.8219
 678679519.1850,  75.5741,  42.8677
 708063224.6655,  75.6478,  41.2889
 737446930.1460,  75.5515,  39.6205
 766830635.6265,  76.4181,  38.4913
 796214341.1070,  76.1885,  37.9147
 842784375.8923,  75.7015,  36.2944
 889354410.6777,  75.5445,  34.6794
 935924445.4630,  75.4252,  33.3698
 982494480.2484,  75.2640,  32.2201
1029064515.0337,  75.1015,  31.1091
1075634549.8190,  74.9474,  29.9917
1122204584.6044,  74.8570,  29.0816
1168774619.3897,  74.7697,  28.2869
1215344654.1750,  74.7033,  27.5447
1261914688.9604,  74.6107,  26.7732
1335723220.0643,  74.5400,  25.8226
1409531751.1683,  74.3751,  24.8527
1483340282.2723,  74.6721,  23.8278
1557148813.3762,  74.7992,  23.6279
1630957344.4802,  74.6226,  23.1118
1704765875.5842,  74.6207,  22.7635
1778574406.6881,  74.4653,  22.4750
1852382937.7921,  74.2969,  22.1057
1926191468.8960,  74.1178,  21.8468
2000000000.0000,  73.9471,  21.4803
2116978638.4922,  73.7620,  20.9576
2233957276.9844,  73.7655,  20.5472
2350935915.4767,  73.7711,  20.3264
2467914553.9689,  73.7734,  20.3195
2584893192.4611,  73.6306,  20.3628
2701871830.9533,  73.3842,  20.3328
2818850469.4456,  73.1415,  20.2632
2935829107.9378,  72.9980,  20.1380
3052807746.4300,  72.9240,  20.1030
3169786384.9222,  72.8424,  20.1726
3355185032.7319,  72.6517,  20.4163
3540583680.5416,  72.3593,  20.6171
3725982328.3513,  72.0663,  20.7772
3911380976.1610,  71.8581,  20.9820
4096779623.9707,  71.6153,  21.2721
4282178271.7804,  71.3224,  21.5733
4467576919.5901,  71.0473,  21.8811
4652975567.3998,  70.7291,  22.1594
4838374215.2095,  70.4634,  22.4999
5023772863.0192,  70.1630,  22.8381
5317609917.8242,  69.6619,  23.3891
5611446972.6293,  69.1324,  23.9441
5905284027.4344,  68.6007,  24.5060
6199121082.2395,  68.0382,  25.0788
6492958137.0446,  67.4846,  25.6458
6786795191.8496,  66.8996,  26.2208
7080632246.6547,  66.2970,  26.7658
7374469301.4598,  65.6876,  27.3179
7668306356.2649,  65.0498,  27.8483
7962143411.0699,  64.4335,  28.3839
8427843758.9233,  63.4013,  29.1930
8893544106.7767,  62.3450,  29.9342
9359244454.6301,  61.2662,  30.6582
9824944802.4835,  60.1878,  31.3308
10290645150.3369,  59.0960,  31.9570
10756345498.1903,  58.0035,  32.5329
11222045846.0437,  56.8910,  33.0752
11687746193.8971,  55.7898,  33.5733
12153446541.7505,  54.6893,  34.0231
12619146889.6039,  53.6033,  34.4351
13357232200.6435,  51.8991,  34.9776
14095317511.6831,  50.1850,  35.4417
14833402822.7227,  48.5458,  35.8032
15571488133.7623,  46.9165,  36.0987
16309573444.8019,  45.3625,  36.2648
17047658755.8416,  43.8586,  36.4080
17785744066.8812,  42.3666,  36.4769
18523829377.9208,  40.9720,  36.4722
19261914688.9604,  39.5887,  36.4477
20000000000.0000,  38.2818,  36.3404

