85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 16:57:15"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  80.0581, 149.9240
 211697863.8492,  79.8538, 140.9903
 223395727.6984,  79.5628, 133.2148
 235093591.5477,  79.4743, 126.2302
 246791455.3969,  79.1591, 119.9445
 258489319.2461,  79.0133, 114.3171
 270187183.0953,  78.7836, 109.2161
 281885046.9446,  78.7300, 104.6079
 293582910.7938,  78.5988, 100.2147
 305280774.6430,  78.4820,  96.2384
 316978638.4922,  78.3840,  92.6645
 335518503.2732,  78.2239,  87.4405
 354058368.0542,  78.0810,  82.8083
 372598232.8351,  77.9631,  78.6672
 391138097.6161,  77.7884,  75.0297
 409677962.3971,  77.6907,  71.7369
 428217827.1780,  77.6290,  68.6936
 446757691.9590,  77.5320,  65.9265
 465297556.7400,  77.4240,  63.3709
 483837421.5209,  77.2775,  61.0779
 502377286.3019,  77.2163,  58.8777
 531760991.7824,  76.9378,  55.6899
 561144697.2629,  76.9594,  52.9320
 590528402.7434,  76.9061,  50.5411
 619912108.2239,  76.8128,  48.1729
 649295813.7045,  76.9004,  46.2970
 678679519.1850,  76.6305,  44.4700
 708063224.6655,  76.6173,  42.7690
 737446930.1460,  76.4576,  41.1652
 766830635.6265,  76.3078,  39.6736
 796214341.1070,  76.2155,  37.9739
 842784375.8923,  77.2658,  36.5922
 889354410.6777,  76.7620,  35.1634
 935924445.4630,  77.0656,  33.5238
 982494480.2484,  77.0031,  32.9197
1029064515.0337,  76.6376,  31.8891
1075634549.8190,  76.3858,  30.7706
1122204584.6044,  76.3250,  29.6161
1168774619.3897,  76.4397,  29.0015
1215344654.1750,  76.2945,  28.3209
1261914688.9604,  76.1739,  27.5874
1335723220.0643,  76.0604,  26.5967
1409531751.1683,  75.9434,  25.8162
1483340282.2723,  75.7211,  24.9607
1557148813.3762,  75.6696,  24.3041
1630957344.4802,  75.5489,  23.7333
1704765875.5842,  75.3559,  23.0677
1778574406.6881,  75.4811,  22.4274
1852382937.7921,  75.6180,  22.0584
1926191468.8960,  75.6838,  21.8888
2000000000.0000,  75.7291,  21.7548
2116978638.4922,  75.4718,  21.6219
2233957276.9844,  75.2086,  21.3709
2350935915.4767,  74.9422,  21.1163
2467914553.9689,  74.7324,  20.8414
2584893192.4611,  74.6460,  20.6587
2701871830.9533,  74.5349,  20.4923
2818850469.4456,  74.5194,  20.3980
2935829107.9378,  74.5184,  20.4429
3052807746.4300,  74.3991,  20.6003
3169786384.9222,  74.1710,  20.7287
3355185032.7319,  73.8418,  20.8538
3540583680.5416,  73.5298,  20.9520
3725982328.3513,  73.3253,  21.0591
3911380976.1610,  73.1629,  21.3317
4096779623.9707,  72.8856,  21.6470
4282178271.7804,  72.5612,  21.9596
4467576919.5901,  72.2525,  22.2391
4652975567.3998,  71.9529,  22.5080
4838374215.2095,  71.6796,  22.8366
5023772863.0192,  71.3868,  23.1750
5317609917.8242,  70.8700,  23.7433
5611446972.6293,  70.3212,  24.2894
5905284027.4344,  69.7912,  24.8535
6199121082.2395,  69.2190,  25.4259
6492958137.0446,  68.6487,  25.9943
6786795191.8496,  68.0462,  26.5609
7080632246.6547,  67.4373,  27.1084
7374469301.4598,  66.8194,  27.6593
7668306356.2649,  66.1733,  28.1897
7962143411.0699,  65.5391,  28.7146
8427843758.9233,  64.4960,  29.5160
8893544106.7767,  63.4327,  30.2632
9359244454.6301,  62.3397,  30.9955
9824944802.4835,  61.2469,  31.6690
10290645150.3369,  60.1434,  32.2932
10756345498.1903,  59.0358,  32.8761
11222045846.0437,  57.9252,  33.4099
11687746193.8971,  56.8226,  33.8947
12153446541.7505,  55.7126,  34.3554
12619146889.6039,  54.6186,  34.7627
13357232200.6435,  52.8769,  35.3186
14095317511.6831,  51.1911,  35.7884
14833402822.7227,  49.5322,  36.1459
15571488133.7623,  47.9147,  36.4385
16309573444.8019,  46.3400,  36.6274
17047658755.8416,  44.8390,  36.7740
17785744066.8812,  43.3422,  36.8499
18523829377.9208,  41.9290,  36.8566
19261914688.9604,  40.5399,  36.8556
20000000000.0000,  39.2270,  36.7327

