85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:18:54"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  80.6399, 149.7932
 211697863.8492,  80.4554, 141.0081
 223395727.6984,  80.1506, 133.1858
 235093591.5477,  79.9032, 126.1283
 246791455.3969,  79.7509, 119.8536
 258489319.2461,  79.5579, 114.1492
 270187183.0953,  79.3537, 108.9711
 281885046.9446,  79.1635, 104.2718
 293582910.7938,  79.0839,  99.9127
 305280774.6430,  78.9509,  96.0560
 316978638.4922,  78.8601,  92.3835
 335518503.2732,  78.7515,  87.1434
 354058368.0542,  78.6354,  82.4529
 372598232.8351,  78.3454,  78.1348
 391138097.6161,  78.3427,  74.7165
 409677962.3971,  78.2133,  71.3982
 428217827.1780,  78.0896,  68.4040
 446757691.9590,  78.0336,  65.6451
 465297556.7400,  77.9137,  63.1349
 483837421.5209,  77.8358,  60.8012
 502377286.3019,  77.8111,  58.6267
 531760991.7824,  77.5691,  55.5084
 561144697.2629,  77.5735,  52.7960
 590528402.7434,  77.3773,  50.3930
 619912108.2239,  77.4133,  48.2688
 649295813.7045,  77.3763,  46.2589
 678679519.1850,  77.1930,  44.4430
 708063224.6655,  77.2044,  42.7829
 737446930.1460,  77.0845,  41.2904
 766830635.6265,  76.9802,  39.9812
 796214341.1070,  76.8181,  38.6771
 842784375.8923,  76.8030,  36.6670
 889354410.6777,  76.9058,  35.3401
 935924445.4630,  76.5692,  33.8146
 982494480.2484,  76.6007,  32.0991
1029064515.0337,  77.3384,  31.3343
1075634549.8190,  76.8636,  30.6893
1122204584.6044,  76.4623,  29.5483
1168774619.3897,  76.7527,  28.4415
1215344654.1750,  76.8659,  27.8250
1261914688.9604,  77.0020,  27.3824
1335723220.0643,  76.6118,  26.6388
1409531751.1683,  76.5860,  25.7966
1483340282.2723,  76.3217,  25.1280
1557148813.3762,  76.1495,  24.4818
1630957344.4802,  76.0628,  23.8824
1704765875.5842,  75.9155,  23.3792
1778574406.6881,  75.8276,  22.9450
1852382937.7921,  75.7240,  22.4855
1926191468.8960,  75.6433,  22.1647
2000000000.0000,  75.5488,  21.8141
2116978638.4922,  75.4135,  21.3072
2233957276.9844,  75.5268,  20.9086
2350935915.4767,  75.5979,  20.7329
2467914553.9689,  75.6065,  20.7818
2584893192.4611,  75.4231,  20.8989
2701871830.9533,  75.1766,  20.9303
2818850469.4456,  74.8862,  20.9498
2935829107.9378,  74.6094,  20.8652
3052807746.4300,  74.3899,  20.7917
3169786384.9222,  74.2643,  20.7332
3355185032.7319,  74.0620,  20.7610
3540583680.5416,  73.9881,  20.8661
3725982328.3513,  73.8773,  21.1928
3911380976.1610,  73.5866,  21.5954
4096779623.9707,  73.2161,  21.9257
4282178271.7804,  72.8244,  22.2106
4467576919.5901,  72.4858,  22.4232
4652975567.3998,  72.2355,  22.6730
4838374215.2095,  71.9792,  22.9912
5023772863.0192,  71.7176,  23.3520
5317609917.8242,  71.1998,  23.9891
5611446972.6293,  70.6034,  24.5746
5905284027.4344,  70.0409,  25.1178
6199121082.2395,  69.4817,  25.6778
6492958137.0446,  68.8992,  26.2670
6786795191.8496,  68.2925,  26.8576
7080632246.6547,  67.6508,  27.4227
7374469301.4598,  67.0233,  27.9630
7668306356.2649,  66.3700,  28.5070
7962143411.0699,  65.7142,  29.0335
8427843758.9233,  64.6449,  29.8444
8893544106.7767,  63.5610,  30.6031
9359244454.6301,  62.4530,  31.3262
9824944802.4835,  61.3380,  31.9974
10290645150.3369,  60.2146,  32.6243
10756345498.1903,  59.0866,  33.2022
11222045846.0437,  57.9572,  33.7436
11687746193.8971,  56.8267,  34.2363
12153446541.7505,  55.6989,  34.6856
12619146889.6039,  54.5787,  35.0913
13357232200.6435,  52.8350,  35.6434
14095317511.6831,  51.1130,  36.1039
14833402822.7227,  49.4270,  36.4671
15571488133.7623,  47.7824,  36.7402
16309573444.8019,  46.1906,  36.9395
17047658755.8416,  44.6450,  37.0580
17785744066.8812,  43.1456,  37.1275
18523829377.9208,  41.6996,  37.1230
19261914688.9604,  40.3174,  37.0671
20000000000.0000,  38.9831,  36.9736

