85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:01:43"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  56.2686,  68.7431
 211697863.8492,  55.8204,  65.1733
 223395727.6984,  55.2948,  61.7854
 235093591.5477,  54.9211,  58.6976
 246791455.3969,  54.6339,  55.9932
 258489319.2461,  54.3933,  53.5376
 270187183.0953,  54.1457,  51.3618
 281885046.9446,  53.8981,  49.4517
 293582910.7938,  53.6841,  47.5425
 305280774.6430,  53.5111,  45.8654
 316978638.4922,  53.3553,  44.2986
 335518503.2732,  53.1196,  42.0432
 354058368.0542,  52.8726,  40.0717
 372598232.8351,  52.5150,  38.1831
 391138097.6161,  52.3852,  36.6643
 409677962.3971,  52.1870,  35.2554
 428217827.1780,  51.9841,  33.9447
 446757691.9590,  51.8847,  32.6934
 465297556.7400,  51.7219,  31.6081
 483837421.5209,  51.6008,  30.5516
 502377286.3019,  51.5060,  29.6049
 531760991.7824,  51.2982,  28.2642
 561144697.2629,  51.1209,  27.0761
 590528402.7434,  50.7757,  26.0481
 619912108.2239,  50.7434,  25.0902
 649295813.7045,  50.5763,  24.2485
 678679519.1850,  50.2862,  23.3981
 708063224.6655,  50.2356,  22.6110
 737446930.1460,  50.1119,  21.9252
 766830635.6265,  49.9582,  21.2818
 796214341.1070,  49.8496,  20.7081
 842784375.8923,  49.7338,  19.7535
 889354410.6777,  49.6737,  19.1589
 935924445.4630,  49.3712,  18.4430
 982494480.2484,  49.3061,  17.5837
1029064515.0337,  49.7073,  17.2821
1075634549.8190,  49.3428,  17.0609
1122204584.6044,  49.0287,  16.4906
1168774619.3897,  49.1322,  15.9618
1215344654.1750,  49.1327,  15.7224
1261914688.9604,  49.1800,  15.5400
1335723220.0643,  48.8839,  15.2279
1409531751.1683,  48.8325,  14.8981
1483340282.2723,  48.6038,  14.6784
1557148813.3762,  48.3627,  14.4652
1630957344.4802,  48.1845,  14.2321
1704765875.5842,  47.9493,  14.0220
1778574406.6881,  47.7945,  13.8140
1852382937.7921,  47.6459,  13.6024
1926191468.8960,  47.5079,  13.4636
2000000000.0000,  47.3512,  13.2848
2116978638.4922,  47.1277,  13.0329
2233957276.9844,  47.0616,  12.8027
2350935915.4767,  47.0117,  12.7080
2467914553.9689,  46.9431,  12.7443
2584893192.4611,  46.7149,  12.8149
2701871830.9533,  46.5250,  12.8353
2818850469.4456,  46.3402,  12.8720
2935829107.9378,  46.0990,  12.8960
3052807746.4300,  45.8356,  12.9170
3169786384.9222,  45.6427,  12.8551
3355185032.7319,  45.4046,  12.8464
3540583680.5416,  45.2193,  12.8772
3725982328.3513,  45.0499,  13.0267
3911380976.1610,  44.7797,  13.1928
4096779623.9707,  44.5108,  13.3338
4282178271.7804,  44.2539,  13.4842
4467576919.5901,  43.9420,  13.6016
4652975567.3998,  43.7184,  13.6982
4838374215.2095,  43.5182,  13.8464
5023772863.0192,  43.2777,  14.0329
5317609917.8242,  42.8825,  14.3184
5611446972.6293,  42.4625,  14.5852
5905284027.4344,  42.0854,  14.8438
6199121082.2395,  41.6633,  15.1091
6492958137.0446,  41.3013,  15.3644
6786795191.8496,  40.8609,  15.6596
7080632246.6547,  40.4776,  15.8862
7374469301.4598,  40.0483,  16.1539
7668306356.2649,  39.6543,  16.3809
7962143411.0699,  39.2317,  16.6246
8427843758.9233,  38.5688,  16.9669
8893544106.7767,  37.9350,  17.2825
9359244454.6301,  37.2913,  17.5881
9824944802.4835,  36.6657,  17.8537
10290645150.3369,  36.0390,  18.1225
10756345498.1903,  35.4537,  18.3430
11222045846.0437,  34.8537,  18.5474
11687746193.8971,  34.2736,  18.7385
12153446541.7505,  33.6968,  18.9161
12619146889.6039,  33.1594,  19.0702
13357232200.6435,  32.3154,  19.3231
14095317511.6831,  31.5012,  19.4803
14833402822.7227,  30.7123,  19.6524
15571488133.7623,  29.9594,  19.7801
16309573444.8019,  29.2470,  19.9267
17047658755.8416,  28.5268,  19.9887
17785744066.8812,  27.8783,  20.1099
18523829377.9208,  27.2015,  20.1616
19261914688.9604,  26.5828,  20.1803
20000000000.0000,  25.9735,  20.2537

