85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 17:00:45"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  80.0287, 150.7411
 211697863.8492,  79.8812, 141.8008
 223395727.6984,  79.7300, 133.8025
 235093591.5477,  79.4923, 126.7471
 246791455.3969,  79.2674, 120.5775
 258489319.2461,  79.0472, 114.8670
 270187183.0953,  78.9165, 109.5928
 281885046.9446,  78.7233, 104.8231
 293582910.7938,  78.6633, 100.4047
 305280774.6430,  78.6145,  96.5032
 316978638.4922,  78.4592,  92.8259
 335518503.2732,  78.3255,  87.6190
 354058368.0542,  78.2571,  82.9201
 372598232.8351,  78.0712,  78.9561
 391138097.6161,  77.9808,  75.0623
 409677962.3971,  77.8610,  71.7227
 428217827.1780,  77.7575,  68.7221
 446757691.9590,  77.6220,  65.9802
 465297556.7400,  77.5420,  63.4387
 483837421.5209,  77.4800,  61.0810
 502377286.3019,  77.4327,  58.9362
 531760991.7824,  77.1926,  55.7373
 561144697.2629,  77.0802,  52.9134
 590528402.7434,  77.1133,  50.5615
 619912108.2239,  77.0571,  48.4740
 649295813.7045,  76.9623,  46.4485
 678679519.1850,  76.7347,  44.5939
 708063224.6655,  76.7371,  42.8368
 737446930.1460,  76.6172,  41.1642
 766830635.6265,  76.5419,  39.5917
 796214341.1070,  76.8872,  37.9209
 842784375.8923,  77.5327,  36.9615
 889354410.6777,  76.9978,  35.4590
 935924445.4630,  77.2075,  34.0510
 982494480.2484,  76.8943,  33.1664
1029064515.0337,  76.6019,  32.0597
1075634549.8190,  76.4304,  30.8359
1122204584.6044,  76.3842,  29.9680
1168774619.3897,  76.2592,  29.1522
1215344654.1750,  76.1719,  28.3609
1261914688.9604,  76.0771,  27.5923
1335723220.0643,  75.9474,  26.6165
1409531751.1683,  75.7811,  25.6814
1483340282.2723,  75.6967,  24.6561
1557148813.3762,  75.7868,  24.0086
1630957344.4802,  75.7647,  23.3909
1704765875.5842,  75.9392,  22.7599
1778574406.6881,  76.0858,  22.6079
1852382937.7921,  76.0173,  22.3548
1926191468.8960,  75.9139,  22.2404
2000000000.0000,  75.7564,  22.0527
2116978638.4922,  75.4196,  21.7820
2233957276.9844,  75.1212,  21.4298
2350935915.4767,  74.8928,  21.0490
2467914553.9689,  74.7564,  20.6787
2584893192.4611,  74.8098,  20.4547
2701871830.9533,  74.8494,  20.3640
2818850469.4456,  74.8740,  20.4655
2935829107.9378,  74.7327,  20.6164
3052807746.4300,  74.4623,  20.7577
3169786384.9222,  74.1894,  20.7836
3355185032.7319,  73.8913,  20.7909
3540583680.5416,  73.7043,  20.8471
3725982328.3513,  73.5464,  21.0851
3911380976.1610,  73.2899,  21.3802
4096779623.9707,  72.9866,  21.6516
4282178271.7804,  72.7004,  21.9267
4467576919.5901,  72.4265,  22.2117
4652975567.3998,  72.1384,  22.5292
4838374215.2095,  71.8369,  22.8621
5023772863.0192,  71.5201,  23.1915
5317609917.8242,  71.0295,  23.7416
5611446972.6293,  70.5015,  24.3177
5905284027.4344,  69.9551,  24.8784
6199121082.2395,  69.3876,  25.4533
6492958137.0446,  68.8104,  26.0138
6786795191.8496,  68.2250,  26.5890
7080632246.6547,  67.6060,  27.1461
7374469301.4598,  66.9875,  27.6861
7668306356.2649,  66.3513,  28.2267
7962143411.0699,  65.7098,  28.7402
8427843758.9233,  64.6709,  29.5463
8893544106.7767,  63.5958,  30.3186
9359244454.6301,  62.5120,  31.0457
9824944802.4835,  61.4185,  31.7224
10290645150.3369,  60.3109,  32.3489
10756345498.1903,  59.2046,  32.9331
11222045846.0437,  58.0888,  33.4813
11687746193.8971,  56.9770,  33.9840
12153446541.7505,  55.8671,  34.4406
12619146889.6039,  54.7686,  34.8387
13357232200.6435,  53.0488,  35.4092
14095317511.6831,  51.3324,  35.8881
14833402822.7227,  49.6698,  36.2701
15571488133.7623,  48.0360,  36.5650
16309573444.8019,  46.4567,  36.7777
17047658755.8416,  44.9194,  36.9158
17785744066.8812,  43.4367,  36.9894
18523829377.9208,  41.9959,  37.0101
19261914688.9604,  40.6162,  36.9790
20000000000.0000,  39.2803,  36.8947

