85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:50:42"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  78.2926, 144.7113
 211697863.8492,  78.0885, 136.1543
 223395727.6984,  77.7719, 128.5968
 235093591.5477,  77.4769, 121.8340
 246791455.3969,  77.3587, 115.7724
 258489319.2461,  77.1595, 110.2445
 270187183.0953,  76.9720, 105.2628
 281885046.9446,  76.8126, 100.8121
 293582910.7938,  76.7393,  96.6325
 305280774.6430,  76.5749,  92.8562
 316978638.4922,  76.5310,  89.3910
 335518503.2732,  76.4046,  84.3704
 354058368.0542,  76.2861,  79.9039
 372598232.8351,  75.9998,  75.7499
 391138097.6161,  75.9714,  72.3998
 409677962.3971,  75.8400,  69.2201
 428217827.1780,  75.7238,  66.3335
 446757691.9590,  75.6500,  63.6480
 465297556.7400,  75.5302,  61.2200
 483837421.5209,  75.4538,  58.9537
 502377286.3019,  75.4246,  56.8759
 531760991.7824,  75.1502,  53.8552
 561144697.2629,  75.0132,  51.1995
 590528402.7434,  74.9194,  48.8850
 619912108.2239,  74.9391,  46.8150
 649295813.7045,  74.9107,  44.8549
 678679519.1850,  74.7078,  43.1317
 708063224.6655,  74.7225,  41.5029
 737446930.1460,  74.5886,  40.0562
 766830635.6265,  74.4543,  38.7743
 796214341.1070,  74.3579,  37.5047
 842784375.8923,  74.2540,  35.4926
 889354410.6777,  74.3662,  34.1647
 935924445.4630,  74.0490,  32.6332
 982494480.2484,  74.1330,  30.9436
1029064515.0337,  74.8804,  30.1550
1075634549.8190,  74.4546,  29.5162
1122204584.6044,  74.1084,  28.4036
1168774619.3897,  74.4294,  27.3485
1215344654.1750,  74.5702,  26.7800
1261914688.9604,  74.7451,  26.3508
1335723220.0643,  74.4292,  25.6827
1409531751.1683,  74.4398,  24.9627
1483340282.2723,  74.1518,  24.4087
1557148813.3762,  73.8989,  23.8302
1630957344.4802,  73.7519,  23.2428
1704765875.5842,  73.5822,  22.7319
1778574406.6881,  73.4983,  22.2973
1852382937.7921,  73.3835,  21.8604
1926191468.8960,  73.2905,  21.5490
2000000000.0000,  73.1866,  21.2088
2116978638.4922,  73.0007,  20.7105
2233957276.9844,  73.0626,  20.2897
2350935915.4767,  73.1120,  20.0476
2467914553.9689,  73.1720,  20.0218
2584893192.4611,  73.0253,  20.0819
2701871830.9533,  72.8787,  20.0980
2818850469.4456,  72.6944,  20.1565
2935829107.9378,  72.4316,  20.1790
3052807746.4300,  72.1640,  20.1890
3169786384.9222,  71.9776,  20.1433
3355185032.7319,  71.7269,  20.1460
3540583680.5416,  71.6079,  20.2046
3725982328.3513,  71.5098,  20.4692
3911380976.1610,  71.2524,  20.8135
4096779623.9707,  70.9346,  21.1269
4282178271.7804,  70.6101,  21.4101
4467576919.5901,  70.2803,  21.6538
4652975567.3998,  70.0258,  21.9255
4838374215.2095,  69.7538,  22.2347
5023772863.0192,  69.4820,  22.5737
5317609917.8242,  68.9951,  23.1563
5611446972.6293,  68.4451,  23.7239
5905284027.4344,  67.9039,  24.2566
6199121082.2395,  67.3641,  24.8229
6492958137.0446,  66.7901,  25.3806
6786795191.8496,  66.2165,  25.9620
7080632246.6547,  65.6042,  26.5032
7374469301.4598,  65.0008,  27.0282
7668306356.2649,  64.3737,  27.5681
7962143411.0699,  63.7313,  28.0787
8427843758.9233,  62.7007,  28.8713
8893544106.7767,  61.6605,  29.6114
9359244454.6301,  60.5904,  30.3192
9824944802.4835,  59.5141,  30.9772
10290645150.3369,  58.4315,  31.5917
10756345498.1903,  57.3486,  32.1585
11222045846.0437,  56.2571,  32.6936
11687746193.8971,  55.1647,  33.1762
12153446541.7505,  54.0733,  33.6155
12619146889.6039,  52.9986,  34.0210
13357232200.6435,  51.3136,  34.5952
14095317511.6831,  49.6452,  35.0235
14833402822.7227,  48.0143,  35.3948
15571488133.7623,  46.4220,  35.6613
16309573444.8019,  44.8901,  35.8736
17047658755.8416,  43.3676,  35.9937
17785744066.8812,  41.9418,  36.0747
18523829377.9208,  40.5227,  36.0906
19261914688.9604,  39.1881,  36.0162
20000000000.0000,  37.8947,  35.9783

