85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 15:36:24"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  82.6678, 153.2415
 211697863.8492,  82.0782, 144.2764
 223395727.6984,  81.6266, 136.1010
 235093591.5477,  81.2304, 128.8069
 246791455.3969,  80.9441, 122.2969
 258489319.2461,  80.6737, 116.5677
 270187183.0953,  80.4124, 111.3064
 281885046.9446,  80.0839, 106.5981
 293582910.7938,  79.9029, 102.0636
 305280774.6430,  79.8475,  98.0578
 316978638.4922,  79.6506,  94.3803
 335518503.2732,  79.4179,  89.0034
 354058368.0542,  79.2555,  84.2420
 372598232.8351,  79.0584,  80.2692
 391138097.6161,  78.8664,  76.3261
 409677962.3971,  78.7034,  72.9274
 428217827.1780,  78.6400,  69.8742
 446757691.9590,  78.4781,  67.0469
 465297556.7400,  78.3196,  64.4675
 483837421.5209,  78.1927,  62.0985
 502377286.3019,  78.0834,  59.8742
 531760991.7824,  77.8156,  56.6070
 561144697.2629,  77.7507,  53.7878
 590528402.7434,  77.6911,  51.2129
 619912108.2239,  77.6416,  49.1024
 649295813.7045,  77.5625,  47.0934
 678679519.1850,  77.2801,  45.1907
 708063224.6655,  77.2590,  43.4598
 737446930.1460,  77.1132,  41.8295
 766830635.6265,  76.9730,  40.3017
 796214341.1070,  76.9615,  38.7315
 842784375.8923,  77.5101,  36.5697
 889354410.6777,  77.3476,  35.4393
 935924445.4630,  77.7229,  33.5058
 982494480.2484,  77.8840,  33.1759
1029064515.0337,  77.4755,  32.1916
1075634549.8190,  77.2967,  30.9475
1122204584.6044,  77.2297,  30.2241
1168774619.3897,  77.0379,  29.4661
1215344654.1750,  76.8885,  28.6794
1261914688.9604,  76.7828,  27.9275
1335723220.0643,  76.6013,  26.9332
1409531751.1683,  76.4434,  25.9953
1483340282.2723,  76.2696,  25.0484
1557148813.3762,  76.2338,  24.3839
1630957344.4802,  76.1551,  23.7082
1704765875.5842,  76.1326,  22.9878
1778574406.6881,  76.3267,  22.6045
1852382937.7921,  76.2759,  22.2290
1926191468.8960,  76.3164,  21.9365
2000000000.0000,  76.3454,  21.8116
2116978638.4922,  76.0888,  21.6347
2233957276.9844,  75.8589,  21.3592
2350935915.4767,  75.6446,  21.0781
2467914553.9689,  75.4255,  20.8146
2584893192.4611,  75.3323,  20.5983
2701871830.9533,  75.2308,  20.4267
2818850469.4456,  75.2410,  20.2971
2935829107.9378,  75.2591,  20.3495
3052807746.4300,  75.1163,  20.5184
3169786384.9222,  74.8912,  20.6222
3355185032.7319,  74.5891,  20.7018
3540583680.5416,  74.2909,  20.7774
3725982328.3513,  74.1178,  20.8848
3911380976.1610,  73.9488,  21.1484
4096779623.9707,  73.6784,  21.4620
4282178271.7804,  73.3771,  21.7478
4467576919.5901,  73.0808,  22.0104
4652975567.3998,  72.8159,  22.2770
4838374215.2095,  72.5490,  22.6006
5023772863.0192,  72.2621,  22.9385
5317609917.8242,  71.7643,  23.4868
5611446972.6293,  71.2462,  24.0435
5905284027.4344,  70.7438,  24.5890
6199121082.2395,  70.2051,  25.1645
6492958137.0446,  69.6427,  25.7186
6786795191.8496,  69.0731,  26.2915
7080632246.6547,  68.4762,  26.8467
7374469301.4598,  67.8790,  27.3888
7668306356.2649,  67.2632,  27.9248
7962143411.0699,  66.6478,  28.4508
8427843758.9233,  65.6381,  29.2696
8893544106.7767,  64.5972,  30.0322
9359244454.6301,  63.5358,  30.7740
9824944802.4835,  62.4678,  31.4515
10290645150.3369,  61.3868,  32.1033
10756345498.1903,  60.3019,  32.6977
11222045846.0437,  59.2213,  33.2657
11687746193.8971,  58.1229,  33.7851
12153446541.7505,  57.0335,  34.2496
12619146889.6039,  55.9455,  34.6754
13357232200.6435,  54.2498,  35.2838
14095317511.6831,  52.5696,  35.7961
14833402822.7227,  50.9261,  36.2075
15571488133.7623,  49.3096,  36.5360
16309573444.8019,  47.7284,  36.7958
17047658755.8416,  46.1952,  36.9692
17785744066.8812,  44.7229,  37.0808
18523829377.9208,  43.2865,  37.1515
19261914688.9604,  41.8963,  37.1459
20000000000.0000,  40.5605,  37.1032

