85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:31:46"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  79.1788, 147.8605
 211697863.8492,  79.0169, 139.0986
 223395727.6984,  78.7107, 131.3448
 235093591.5477,  78.4553, 124.3674
 246791455.3969,  78.3453, 118.2501
 258489319.2461,  78.1640, 112.5931
 270187183.0953,  77.9806, 107.4460
 281885046.9446,  77.7928, 102.8320
 293582910.7938,  77.7247,  98.5406
 305280774.6430,  77.5982,  94.7056
 316978638.4922,  77.5238,  91.1414
 335518503.2732,  77.4122,  85.9653
 354058368.0542,  77.3134,  81.4126
 372598232.8351,  77.0415,  77.1393
 391138097.6161,  77.0234,  73.7231
 409677962.3971,  76.9070,  70.4951
 428217827.1780,  76.7934,  67.4827
 446757691.9590,  76.7466,  64.8205
 465297556.7400,  76.6306,  62.2835
 483837421.5209,  76.5609,  59.9718
 502377286.3019,  76.5423,  57.8714
 531760991.7824,  76.3019,  54.7932
 561144697.2629,  76.1890,  52.0927
 590528402.7434,  76.1018,  49.7618
 619912108.2239,  76.1437,  47.6229
 649295813.7045,  76.0926,  45.6761
 678679519.1850,  75.9055,  43.8938
 708063224.6655,  75.9204,  42.2597
 737446930.1460,  75.8111,  40.8026
 766830635.6265,  75.7115,  39.4996
 796214341.1070,  75.6206,  38.2147
 842784375.8923,  75.5112,  36.2152
 889354410.6777,  75.5986,  34.8915
 935924445.4630,  75.2382,  33.3609
 982494480.2484,  75.2613,  31.6681
1029064515.0337,  75.9799,  30.8793
1075634549.8190,  75.4937,  30.2278
1122204584.6044,  75.1055,  29.0564
1168774619.3897,  75.4135,  27.9362
1215344654.1750,  75.5227,  27.3400
1261914688.9604,  75.6705,  26.8564
1335723220.0643,  75.3543,  26.0561
1409531751.1683,  75.4359,  25.2345
1483340282.2723,  75.2352,  24.6411
1557148813.3762,  75.0755,  24.0566
1630957344.4802,  75.0024,  23.5081
1704765875.5842,  74.8511,  23.0537
1778574406.6881,  74.7679,  22.6393
1852382937.7921,  74.6603,  22.2568
1926191468.8960,  74.5466,  21.9727
2000000000.0000,  74.4016,  21.6575
2116978638.4922,  74.1488,  21.1665
2233957276.9844,  74.1786,  20.7063
2350935915.4767,  74.2086,  20.4485
2467914553.9689,  74.2349,  20.3902
2584893192.4611,  74.1150,  20.4462
2701871830.9533,  73.9458,  20.4278
2818850469.4456,  73.7889,  20.4470
2935829107.9378,  73.5864,  20.4586
3052807746.4300,  73.3758,  20.4816
3169786384.9222,  73.2041,  20.5035
3355185032.7319,  72.9218,  20.5859
3540583680.5416,  72.7363,  20.6535
3725982328.3513,  72.6025,  20.8752
3911380976.1610,  72.3701,  21.1733
4096779623.9707,  72.0821,  21.4976
4282178271.7804,  71.7539,  21.8022
4467576919.5901,  71.4317,  22.0771
4652975567.3998,  71.1485,  22.3682
4838374215.2095,  70.8626,  22.6819
5023772863.0192,  70.5783,  23.0346
5317609917.8242,  70.0844,  23.6181
5611446972.6293,  69.5368,  24.1901
5905284027.4344,  68.9936,  24.7515
6199121082.2395,  68.4317,  25.3275
6492958137.0446,  67.8556,  25.8989
6786795191.8496,  67.2642,  26.4847
7080632246.6547,  66.6409,  27.0490
7374469301.4598,  66.0287,  27.5917
7668306356.2649,  65.3913,  28.1408
7962143411.0699,  64.7391,  28.6668
8427843758.9233,  63.6887,  29.4754
8893544106.7767,  62.6225,  30.2378
9359244454.6301,  61.5314,  30.9668
9824944802.4835,  60.4356,  31.6374
10290645150.3369,  59.3265,  32.2689
10756345498.1903,  58.2191,  32.8533
11222045846.0437,  57.1073,  33.3996
11687746193.8971,  55.9911,  33.9013
12153446541.7505,  54.8749,  34.3572
12619146889.6039,  53.7698,  34.7676
13357232200.6435,  52.0402,  35.3414
14095317511.6831,  50.3408,  35.7966
14833402822.7227,  48.6685,  36.1741
15571488133.7623,  47.0362,  36.4543
16309573444.8019,  45.4579,  36.6749
17047658755.8416,  43.9117,  36.8002
17785744066.8812,  42.4315,  36.8804
18523829377.9208,  40.9910,  36.8930
19261914688.9604,  39.6134,  36.8326
20000000000.0000,  38.2793,  36.7700

