85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:02:50"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  58.4933,  71.0461
 211697863.8492,  57.9761,  67.3210
 223395727.6984,  57.4424,  63.8774
 235093591.5477,  56.9604,  60.6646
 246791455.3969,  56.6518,  57.8560
 258489319.2461,  56.2944,  55.2628
 270187183.0953,  55.9711,  52.9550
 281885046.9446,  55.6712,  50.8632
 293582910.7938,  55.4074,  48.8994
 305280774.6430,  55.1594,  47.1613
 316978638.4922,  54.9406,  45.5157
 335518503.2732,  54.6460,  43.1488
 354058368.0542,  54.3617,  41.0691
 372598232.8351,  53.9780,  39.1677
 391138097.6161,  53.7995,  37.6001
 409677962.3971,  53.5722,  36.0780
 428217827.1780,  53.3191,  34.6615
 446757691.9590,  53.1424,  33.3742
 465297556.7400,  52.9416,  32.2109
 483837421.5209,  52.7588,  31.1071
 502377286.3019,  52.6249,  30.1551
 531760991.7824,  52.3862,  28.7212
 561144697.2629,  52.1658,  27.4886
 590528402.7434,  51.7798,  26.4155
 619912108.2239,  51.7014,  25.4077
 649295813.7045,  51.4972,  24.5310
 678679519.1850,  51.1672,  23.6779
 708063224.6655,  51.0945,  22.8473
 737446930.1460,  50.9299,  22.1566
 766830635.6265,  50.7398,  21.5196
 796214341.1070,  50.5974,  20.8792
 842784375.8923,  50.4453,  19.8843
 889354410.6777,  50.3633,  19.2726
 935924445.4630,  50.0374,  18.5427
 982494480.2484,  49.9401,  17.6645
1029064515.0337,  50.3117,  17.3502
1075634549.8190,  49.9160,  17.1317
1122204584.6044,  49.5709,  16.5508
1168774619.3897,  49.6580,  15.9909
1215344654.1750,  49.6310,  15.7352
1261914688.9604,  49.6491,  15.5333
1335723220.0643,  49.3403,  15.2244
1409531751.1683,  49.2623,  14.8729
1483340282.2723,  49.0070,  14.6469
1557148813.3762,  48.7390,  14.4165
1630957344.4802,  48.5445,  14.1815
1704765875.5842,  48.2897,  13.9600
1778574406.6881,  48.1085,  13.7407
1852382937.7921,  47.9396,  13.5135
1926191468.8960,  47.7779,  13.3672
2000000000.0000,  47.6042,  13.1839
2116978638.4922,  47.3617,  12.9229
2233957276.9844,  47.2788,  12.6890
2350935915.4767,  47.2153,  12.5863
2467914553.9689,  47.1299,  12.6109
2584893192.4611,  46.8847,  12.6680
2701871830.9533,  46.6834,  12.6820
2818850469.4456,  46.4841,  12.7191
2935829107.9378,  46.2189,  12.7436
3052807746.4300,  45.9284,  12.7382
3169786384.9222,  45.7244,  12.6601
3355185032.7319,  45.4799,  12.6419
3540583680.5416,  45.2778,  12.6701
3725982328.3513,  45.1018,  12.7977
3911380976.1610,  44.8295,  12.9478
4096779623.9707,  44.5571,  13.0926
4282178271.7804,  44.2842,  13.2386
4467576919.5901,  43.9650,  13.3451
4652975567.3998,  43.7422,  13.4340
4838374215.2095,  43.5235,  13.5749
5023772863.0192,  43.2736,  13.7447
5317609917.8242,  42.8807,  14.0279
5611446972.6293,  42.4540,  14.2763
5905284027.4344,  42.0703,  14.5260
6199121082.2395,  41.6562,  14.7590
6492958137.0446,  41.2871,  15.0082
6786795191.8496,  40.8696,  15.2739
7080632246.6547,  40.4965,  15.5066
7374469301.4598,  40.0884,  15.7618
7668306356.2649,  39.7093,  15.9966
7962143411.0699,  39.3006,  16.2404
8427843758.9233,  38.6637,  16.6030
8893544106.7767,  38.0434,  16.9409
9359244454.6301,  37.4024,  17.2745
9824944802.4835,  36.7761,  17.5760
10290645150.3369,  36.1339,  17.8696
10756345498.1903,  35.5218,  18.1199
11222045846.0437,  34.8945,  18.3495
11687746193.8971,  34.2766,  18.5554
12153446541.7505,  33.6540,  18.7426
12619146889.6039,  33.0678,  18.8989
13357232200.6435,  32.1504,  19.1330
14095317511.6831,  31.2700,  19.2652
14833402822.7227,  30.4207,  19.3964
15571488133.7623,  29.6131,  19.4689
16309573444.8019,  28.8538,  19.5425
17047658755.8416,  28.0971,  19.5317
17785744066.8812,  27.4201,  19.5736
18523829377.9208,  26.7293,  19.5426
19261914688.9604,  26.1039,  19.4762
20000000000.0000,  25.4961,  19.4629

