85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 17:55:01"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  80.0455, 146.7071
 211697863.8492,  79.6520, 137.9717
 223395727.6984,  79.3995, 130.2080
 235093591.5477,  78.9724, 123.2594
 246791455.3969,  78.6432, 117.1543
 258489319.2461,  78.4631, 111.7095
 270187183.0953,  78.2609, 106.6834
 281885046.9446,  78.1120, 102.0115
 293582910.7938,  77.8998,  97.8188
 305280774.6430,  77.6276,  93.9843
 316978638.4922,  77.5896,  90.3828
 335518503.2732,  77.3764,  85.3118
 354058368.0542,  77.2033,  80.8004
 372598232.8351,  76.8808,  76.7555
 391138097.6161,  76.9049,  73.1647
 409677962.3971,  76.7545,  69.9320
 428217827.1780,  76.6461,  66.9952
 446757691.9590,  76.5225,  64.2491
 465297556.7400,  76.4535,  61.7701
 483837421.5209,  76.3131,  59.5006
 502377286.3019,  76.2316,  57.3502
 531760991.7824,  75.9460,  54.2822
 561144697.2629,  75.8917,  51.4932
 590528402.7434,  75.9816,  49.1590
 619912108.2239,  75.7726,  46.9996
 649295813.7045,  75.8004,  45.0200
 678679519.1850,  75.5979,  43.0218
 708063224.6655,  75.6714,  41.4466
 737446930.1460,  75.5892,  39.7836
 766830635.6265,  76.4422,  38.6760
 796214341.1070,  76.0814,  38.1029
 842784375.8923,  75.6877,  36.4679
 889354410.6777,  75.3885,  34.7481
 935924445.4630,  75.2437,  33.3346
 982494480.2484,  75.1168,  32.1623
1029064515.0337,  74.9821,  31.0333
1075634549.8190,  74.8443,  29.9109
1122204584.6044,  74.7927,  28.9718
1168774619.3897,  74.7214,  28.1839
1215344654.1750,  74.6465,  27.4283
1261914688.9604,  74.5529,  26.6577
1335723220.0643,  74.5070,  25.7080
1409531751.1683,  74.3494,  24.7374
1483340282.2723,  74.6768,  23.7174
1557148813.3762,  74.8532,  23.5354
1630957344.4802,  74.6848,  23.0719
1704765875.5842,  74.6353,  22.7670
1778574406.6881,  74.4099,  22.4857
1852382937.7921,  74.1823,  22.1036
1926191468.8960,  73.9806,  21.8014
2000000000.0000,  73.7944,  21.3928
2116978638.4922,  73.6539,  20.8107
2233957276.9844,  73.7093,  20.3865
2350935915.4767,  73.7536,  20.1735
2467914553.9689,  73.7713,  20.1889
2584893192.4611,  73.6037,  20.2688
2701871830.9533,  73.3559,  20.2616
2818850469.4456,  73.0854,  20.2081
2935829107.9378,  72.9004,  20.0585
3052807746.4300,  72.8289,  19.9710
3169786384.9222,  72.7875,  20.0102
3355185032.7319,  72.6254,  20.2568
3540583680.5416,  72.3371,  20.4978
3725982328.3513,  72.0234,  20.6724
3911380976.1610,  71.7949,  20.8574
4096779623.9707,  71.5632,  21.1353
4282178271.7804,  71.3040,  21.4242
4467576919.5901,  71.0221,  21.7306
4652975567.3998,  70.7127,  22.0192
4838374215.2095,  70.4263,  22.3527
5023772863.0192,  70.1232,  22.6865
5317609917.8242,  69.6338,  23.2426
5611446972.6293,  69.1243,  23.8011
5905284027.4344,  68.6015,  24.3626
6199121082.2395,  68.0428,  24.9350
6492958137.0446,  67.4795,  25.4990
6786795191.8496,  66.8966,  26.0723
7080632246.6547,  66.2935,  26.6211
7374469301.4598,  65.6874,  27.1751
7668306356.2649,  65.0682,  27.7124
7962143411.0699,  64.4463,  28.2384
8427843758.9233,  63.4198,  29.0452
8893544106.7767,  62.3673,  29.7955
9359244454.6301,  61.2876,  30.5251
9824944802.4835,  60.2168,  31.2054
10290645150.3369,  59.1251,  31.8427
10756345498.1903,  58.0371,  32.4260
11222045846.0437,  56.9369,  32.9825
11687746193.8971,  55.8406,  33.4862
12153446541.7505,  54.7445,  33.9397
12619146889.6039,  53.6620,  34.3549
13357232200.6435,  51.9401,  34.9198
14095317511.6831,  50.2509,  35.4058
14833402822.7227,  48.6118,  35.7863
15571488133.7623,  46.9873,  36.0929
16309573444.8019,  45.4229,  36.2919
17047658755.8416,  43.9131,  36.4477
17785744066.8812,  42.4204,  36.5331
18523829377.9208,  41.0069,  36.5442
19261914688.9604,  39.6260,  36.5277
20000000000.0000,  38.3106,  36.4364

