85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:01:57"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  59.3800,  72.4045
 211697863.8492,  58.9638,  68.6200
 223395727.6984,  58.4862,  65.1730
 235093591.5477,  58.1456,  61.9706
 246791455.3969,  57.8525,  59.2456
 258489319.2461,  57.5730,  56.6707
 270187183.0953,  57.2785,  54.3405
 281885046.9446,  57.0466,  52.3612
 293582910.7938,  56.8635,  50.3648
 305280774.6430,  56.6688,  48.6465
 316978638.4922,  56.5010,  46.9674
 335518503.2732,  56.2359,  44.6349
 354058368.0542,  56.0063,  42.5252
 372598232.8351,  55.6337,  40.5568
 391138097.6161,  55.5053,  39.0338
 409677962.3971,  55.3049,  37.4677
 428217827.1780,  55.0753,  36.0657
 446757691.9590,  54.9344,  34.8045
 465297556.7400,  54.7680,  33.6380
 483837421.5209,  54.6066,  32.5225
 502377286.3019,  54.5205,  31.5229
 531760991.7824,  54.3036,  30.0800
 561144697.2629,  54.0952,  28.8654
 590528402.7434,  53.7167,  27.7732
 619912108.2239,  53.6711,  26.7396
 649295813.7045,  53.4814,  25.8317
 678679519.1850,  53.2669,  24.9342
 708063224.6655,  53.1186,  24.0950
 737446930.1460,  52.9668,  23.3476
 766830635.6265,  52.8048,  22.7036
 796214341.1070,  52.6767,  22.0802
 842784375.8923,  52.5387,  21.0548
 889354410.6777,  52.4853,  20.4256
 935924445.4630,  52.1745,  19.6654
 982494480.2484,  52.1036,  18.7659
1029064515.0337,  52.5147,  18.4168
1075634549.8190,  52.1161,  18.2135
1122204584.6044,  51.7757,  17.6144
1168774619.3897,  51.8853,  17.0501
1215344654.1750,  51.8774,  16.7947
1261914688.9604,  51.9090,  16.6036
1335723220.0643,  51.5929,  16.2760
1409531751.1683,  51.5316,  15.9176
1483340282.2723,  51.2822,  15.6928
1557148813.3762,  51.0233,  15.4650
1630957344.4802,  50.8281,  15.2192
1704765875.5842,  50.5764,  14.9978
1778574406.6881,  50.4011,  14.7723
1852382937.7921,  50.2297,  14.5392
1926191468.8960,  50.0720,  14.3825
2000000000.0000,  49.9035,  14.1983
2116978638.4922,  49.6688,  13.9303
2233957276.9844,  49.5867,  13.6850
2350935915.4767,  49.5308,  13.5910
2467914553.9689,  49.4537,  13.6335
2584893192.4611,  49.2062,  13.7040
2701871830.9533,  48.9976,  13.7258
2818850469.4456,  48.7968,  13.7575
2935829107.9378,  48.5395,  13.7802
3052807746.4300,  48.2595,  13.8007
3169786384.9222,  48.0475,  13.7493
3355185032.7319,  47.7937,  13.7154
3540583680.5416,  47.5972,  13.7573
3725982328.3513,  47.4210,  13.9285
3911380976.1610,  47.1246,  14.1095
4096779623.9707,  46.8311,  14.2666
4282178271.7804,  46.5510,  14.4276
4467576919.5901,  46.2098,  14.5625
4652975567.3998,  45.9580,  14.6554
4838374215.2095,  45.7382,  14.8010
5023772863.0192,  45.4833,  14.9922
5317609917.8242,  45.0646,  15.2915
5611446972.6293,  44.6109,  15.5759
5905284027.4344,  44.2044,  15.8429
6199121082.2395,  43.7435,  16.1129
6492958137.0446,  43.3627,  16.3705
6786795191.8496,  42.8951,  16.6762
7080632246.6547,  42.4976,  16.9100
7374469301.4598,  42.0494,  17.1893
7668306356.2649,  41.6356,  17.4214
7962143411.0699,  41.1946,  17.6834
8427843758.9233,  40.5003,  18.0451
8893544106.7767,  39.8340,  18.3810
9359244454.6301,  39.1528,  18.7042
9824944802.4835,  38.4930,  18.9891
10290645150.3369,  37.8337,  19.2758
10756345498.1903,  37.2143,  19.5118
11222045846.0437,  36.5788,  19.7383
11687746193.8971,  35.9676,  19.9473
12153446541.7505,  35.3583,  20.1437
12619146889.6039,  34.7876,  20.3217
13357232200.6435,  33.8839,  20.6112
14095317511.6831,  33.0049,  20.8103
14833402822.7227,  32.1472,  21.0226
15571488133.7623,  31.3098,  21.1814
16309573444.8019,  30.5104,  21.3475
17047658755.8416,  29.6937,  21.4217
17785744066.8812,  28.9479,  21.5441
18523829377.9208,  28.1738,  21.5882
19261914688.9604,  27.4600,  21.5790
20000000000.0000,  26.7578,  21.6269

