85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:00:21"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  64.4739,  79.4927
 211697863.8492,  63.9373,  75.3338
 223395727.6984,  63.3429,  71.5255
 235093591.5477,  62.9044,  68.1006
 246791455.3969,  62.5193,  65.0200
 258489319.2461,  62.1392,  62.1995
 270187183.0953,  61.8072,  59.6755
 281885046.9446,  61.5116,  57.4180
 293582910.7938,  61.2273,  55.2668
 305280774.6430,  60.9829,  53.3504
 316978638.4922,  60.7729,  51.5451
 335518503.2732,  60.4260,  48.8979
 354058368.0542,  60.1286,  46.6332
 372598232.8351,  59.7136,  44.4345
 391138097.6161,  59.5171,  42.7137
 409677962.3971,  59.2779,  41.0552
 428217827.1780,  59.0083,  39.5038
 446757691.9590,  58.8247,  38.1130
 465297556.7400,  58.6272,  36.8234
 483837421.5209,  58.4411,  35.5964
 502377286.3019,  58.3128,  34.4947
 531760991.7824,  57.9289,  32.9084
 561144697.2629,  57.8001,  31.5686
 590528402.7434,  57.3956,  30.3603
 619912108.2239,  57.3037,  29.2389
 649295813.7045,  57.0846,  28.2430
 678679519.1850,  56.8294,  27.2773
 708063224.6655,  56.6499,  26.3230
 737446930.1460,  56.4863,  25.5336
 766830635.6265,  56.2924,  24.8183
 796214341.1070,  56.1534,  24.1191
 842784375.8923,  55.9984,  22.9818
 889354410.6777,  55.9186,  22.3010
 935924445.4630,  55.5707,  21.4568
 982494480.2484,  55.4813,  20.4845
1029064515.0337,  55.9145,  20.1182
1075634549.8190,  55.4747,  19.8564
1122204584.6044,  55.1016,  19.2194
1168774619.3897,  55.2058,  18.6180
1215344654.1750,  55.1842,  18.3270
1261914688.9604,  55.2224,  18.0961
1335723220.0643,  54.8796,  17.7320
1409531751.1683,  54.8068,  17.3385
1483340282.2723,  54.5345,  17.0815
1557148813.3762,  54.2493,  16.8300
1630957344.4802,  54.0344,  16.5642
1704765875.5842,  53.7547,  16.3104
1778574406.6881,  53.5670,  16.0592
1852382937.7921,  53.3868,  15.8165
1926191468.8960,  53.2200,  15.6589
2000000000.0000,  53.0392,  15.4524
2116978638.4922,  52.7481,  15.1470
2233957276.9844,  52.6903,  14.9010
2350935915.4767,  52.6208,  14.7962
2467914553.9689,  52.5321,  14.8403
2584893192.4611,  52.2616,  14.8989
2701871830.9533,  52.0412,  14.9155
2818850469.4456,  51.8174,  14.9600
2935829107.9378,  51.5330,  14.9891
3052807746.4300,  51.2259,  14.9976
3169786384.9222,  50.9974,  14.9204
3355185032.7319,  50.7338,  14.9118
3540583680.5416,  50.5190,  14.9591
3725982328.3513,  50.3193,  15.1396
3911380976.1610,  49.9942,  15.3357
4096779623.9707,  49.6761,  15.5124
4282178271.7804,  49.3496,  15.7078
4467576919.5901,  48.9550,  15.8314
4652975567.3998,  48.6926,  15.9210
4838374215.2095,  48.4371,  16.0787
5023772863.0192,  48.1476,  16.2671
5317609917.8242,  47.7040,  16.5785
5611446972.6293,  47.2109,  16.8776
5905284027.4344,  46.7513,  17.1745
6199121082.2395,  46.2525,  17.4582
6492958137.0446,  45.7919,  17.7472
6786795191.8496,  45.2766,  18.0504
7080632246.6547,  44.8014,  18.3009
7374469301.4598,  44.2934,  18.5557
7668306356.2649,  43.8142,  18.7851
7962143411.0699,  43.3204,  18.9976
8427843758.9233,  42.5685,  19.3102
8893544106.7767,  41.8750,  19.5939
9359244454.6301,  41.1821,  19.8853
9824944802.4835,  40.5203,  20.1591
10290645150.3369,  39.8510,  20.4429
10756345498.1903,  39.2152,  20.6931
11222045846.0437,  38.5640,  20.9269
11687746193.8971,  37.9262,  21.1485
12153446541.7505,  37.2847,  21.3577
12619146889.6039,  36.6800,  21.5454
13357232200.6435,  35.7217,  21.8487
14095317511.6831,  34.7880,  22.0472
14833402822.7227,  33.8709,  22.2621
15571488133.7623,  32.9798,  22.4094
16309573444.8019,  32.1308,  22.5689
17047658755.8416,  31.2682,  22.6279
17785744066.8812,  30.4799,  22.7381
18523829377.9208,  29.6681,  22.7716
19261914688.9604,  28.9201,  22.7504
20000000000.0000,  28.1830,  22.7900

