85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 17:38:58"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  82.3160, 149.1229
 211697863.8492,  81.9472, 140.3137
 223395727.6984,  81.6434, 132.5290
 235093591.5477,  81.2599, 125.5679
 246791455.3969,  80.8798, 119.3993
 258489319.2461,  80.6690, 113.7568
 270187183.0953,  80.4479, 108.5874
 281885046.9446,  80.2853, 103.8726
 293582910.7938,  80.0930,  99.5462
 305280774.6430,  79.7800,  95.7483
 316978638.4922,  79.7246,  92.0543
 335518503.2732,  79.5062,  86.9307
 354058368.0542,  79.3357,  82.3932
 372598232.8351,  78.9892,  78.1894
 391138097.6161,  78.9851,  74.5811
 409677962.3971,  78.8408,  71.2358
 428217827.1780,  78.7198,  68.2303
 446757691.9590,  78.6019,  65.4920
 465297556.7400,  78.5288,  62.9572
 483837421.5209,  78.3857,  60.6626
 502377286.3019,  78.2861,  58.4616
 531760991.7824,  77.9671,  55.3607
 561144697.2629,  77.7768,  52.5344
 590528402.7434,  77.9899,  50.1503
 619912108.2239,  77.7672,  47.9128
 649295813.7045,  77.8160,  45.8886
 678679519.1850,  77.6080,  43.9053
 708063224.6655,  77.6759,  42.2578
 737446930.1460,  77.5904,  40.5803
 766830635.6265,  78.4546,  39.4451
 796214341.1070,  78.1779,  38.8631
 842784375.8923,  77.6639,  37.1560
 889354410.6777,  77.5136,  35.4475
 935924445.4630,  77.4136,  34.0308
 982494480.2484,  77.2981,  32.8169
1029064515.0337,  77.1849,  31.6687
1075634549.8190,  77.0565,  30.5426
1122204584.6044,  76.9893,  29.6220
1168774619.3897,  76.9082,  28.8558
1215344654.1750,  76.8459,  28.0982
1261914688.9604,  76.7616,  27.3174
1335723220.0643,  76.6983,  26.3655
1409531751.1683,  76.5248,  25.4191
1483340282.2723,  76.8047,  24.4009
1557148813.3762,  76.9215,  24.1984
1630957344.4802,  76.7335,  23.6787
1704765875.5842,  76.6928,  23.3260
1778574406.6881,  76.5024,  23.0171
1852382937.7921,  76.3118,  22.6197
1926191468.8960,  76.1419,  22.2897
2000000000.0000,  75.9940,  21.8995
2116978638.4922,  75.8583,  21.3606
2233957276.9844,  75.9041,  21.0077
2350935915.4767,  75.8923,  20.8369
2467914553.9689,  75.8320,  20.8403
2584893192.4611,  75.6397,  20.8684
2701871830.9533,  75.4052,  20.8108
2818850469.4456,  75.1655,  20.7177
2935829107.9378,  75.0295,  20.5770
3052807746.4300,  74.9778,  20.5519
3169786384.9222,  74.9205,  20.6546
3355185032.7319,  74.6860,  20.9207
3540583680.5416,  74.3505,  21.1309
3725982328.3513,  74.0538,  21.2831
3911380976.1610,  73.8457,  21.4805
4096779623.9707,  73.6057,  21.8015
4282178271.7804,  73.3104,  22.1195
4467576919.5901,  72.9959,  22.4271
4652975567.3998,  72.6937,  22.7105
4838374215.2095,  72.4061,  23.0467
5023772863.0192,  72.0950,  23.4030
5317609917.8242,  71.5788,  23.9705
5611446972.6293,  71.0317,  24.5449
5905284027.4344,  70.4833,  25.1176
6199121082.2395,  69.9092,  25.7077
6492958137.0446,  69.3201,  26.2727
6786795191.8496,  68.7207,  26.8587
7080632246.6547,  68.0993,  27.4148
7374469301.4598,  67.4698,  27.9711
7668306356.2649,  66.8188,  28.5166
7962143411.0699,  66.1629,  29.0437
8427843758.9233,  65.0996,  29.8660
8893544106.7767,  64.0173,  30.6313
9359244454.6301,  62.9117,  31.3661
9824944802.4835,  61.8013,  32.0464
10290645150.3369,  60.6841,  32.6835
10756345498.1903,  59.5582,  33.2680
11222045846.0437,  58.4254,  33.8224
11687746193.8971,  57.2943,  34.3270
12153446541.7505,  56.1775,  34.7753
12619146889.6039,  55.0540,  35.1854
13357232200.6435,  53.3089,  35.7552
14095317511.6831,  51.5748,  36.2280
14833402822.7227,  49.8982,  36.6005
15571488133.7623,  48.2439,  36.8943
16309573444.8019,  46.6456,  37.1009
17047658755.8416,  45.0802,  37.2376
17785744066.8812,  43.5852,  37.3081
18523829377.9208,  42.1360,  37.3204
19261914688.9604,  40.7366,  37.2687
20000000000.0000,  39.3964,  37.1888

