85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:01:15"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  56.1954,  70.6100
 211697863.8492,  55.8500,  66.8631
 223395727.6984,  55.4757,  63.5191
 235093591.5477,  55.1718,  60.4403
 246791455.3969,  54.9424,  57.6952
 258489319.2461,  54.7477,  55.2091
 270187183.0953,  54.5409,  52.9853
 281885046.9446,  54.3827,  50.9993
 293582910.7938,  54.2443,  49.1388
 305280774.6430,  54.0837,  47.4467
 316978638.4922,  54.0313,  45.8406
 335518503.2732,  53.8344,  43.5775
 354058368.0542,  53.6885,  41.5359
 372598232.8351,  53.4163,  39.6174
 391138097.6161,  53.3315,  38.1320
 409677962.3971,  53.2119,  36.6897
 428217827.1780,  53.0688,  35.2979
 446757691.9590,  53.0076,  34.0853
 465297556.7400,  52.9033,  32.9494
 483837421.5209,  52.8165,  31.8572
 502377286.3019,  52.7828,  30.9148
 531760991.7824,  52.6301,  29.4748
 561144697.2629,  52.4989,  28.2942
 590528402.7434,  52.1957,  27.1995
 619912108.2239,  52.2047,  26.2268
 649295813.7045,  52.0959,  25.3358
 678679519.1850,  51.9385,  24.5195
 708063224.6655,  51.8551,  23.7061
 737446930.1460,  51.7568,  22.9786
 766830635.6265,  51.6540,  22.3599
 796214341.1070,  51.5771,  21.7456
 842784375.8923,  51.4962,  20.7294
 889354410.6777,  51.4867,  20.1172
 935924445.4630,  51.2162,  19.3622
 982494480.2484,  51.1783,  18.4791
1029064515.0337,  51.6298,  18.1598
1075634549.8190,  51.2836,  17.9390
1122204584.6044,  50.9989,  17.3571
1168774619.3897,  51.1397,  16.8055
1215344654.1750,  51.1744,  16.5390
1261914688.9604,  51.2480,  16.3480
1335723220.0643,  50.9817,  16.0285
1409531751.1683,  50.9545,  15.6751
1483340282.2723,  50.7438,  15.4489
1557148813.3762,  50.5335,  15.2150
1630957344.4802,  50.3781,  14.9636
1704765875.5842,  50.1649,  14.7514
1778574406.6881,  50.0282,  14.5247
1852382937.7921,  49.8953,  14.2978
1926191468.8960,  49.7704,  14.1484
2000000000.0000,  49.6408,  13.9687
2116978638.4922,  49.4034,  13.6992
2233957276.9844,  49.3869,  13.4706
2350935915.4767,  49.3623,  13.3702
2467914553.9689,  49.3145,  13.4064
2584893192.4611,  49.0976,  13.4802
2701871830.9533,  48.9244,  13.5044
2818850469.4456,  48.7505,  13.5564
2935829107.9378,  48.5048,  13.5839
3052807746.4300,  48.2401,  13.5939
3169786384.9222,  48.0643,  13.5167
3355185032.7319,  47.8468,  13.5029
3540583680.5416,  47.6615,  13.5436
3725982328.3513,  47.5085,  13.6844
3911380976.1610,  47.2675,  13.8555
4096779623.9707,  47.0104,  14.0256
4282178271.7804,  46.7515,  14.1884
4467576919.5901,  46.4495,  14.3063
4652975567.3998,  46.2502,  14.4188
4838374215.2095,  46.0532,  14.5836
5023772863.0192,  45.8178,  14.7768
5317609917.8242,  45.4323,  15.0874
5611446972.6293,  45.0117,  15.3767
5905284027.4344,  44.6291,  15.6589
6199121082.2395,  44.2225,  15.9338
6492958137.0446,  43.8551,  16.2180
6786795191.8496,  43.4320,  16.5273
7080632246.6547,  43.0555,  16.7986
7374469301.4598,  42.6388,  17.0884
7668306356.2649,  42.2527,  17.3591
7962143411.0699,  41.8311,  17.6420
8427843758.9233,  41.1580,  18.0528
8893544106.7767,  40.5020,  18.4346
9359244454.6301,  39.8289,  18.8094
9824944802.4835,  39.1705,  19.1414
10290645150.3369,  38.4950,  19.4726
10756345498.1903,  37.8542,  19.7653
11222045846.0437,  37.1965,  20.0308
11687746193.8971,  36.5417,  20.2757
12153446541.7505,  35.8875,  20.4999
12619146889.6039,  35.2653,  20.6887
13357232200.6435,  34.2877,  20.9734
14095317511.6831,  33.3397,  21.1501
14833402822.7227,  32.4242,  21.3269
15571488133.7623,  31.5421,  21.4385
16309573444.8019,  30.7115,  21.5506
17047658755.8416,  29.8804,  21.5693
17785744066.8812,  29.1291,  21.6351
18523829377.9208,  28.3617,  21.6314
19261914688.9604,  27.6610,  21.5806
20000000000.0000,  26.9827,  21.5873

