85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:00:48"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  51.8112,  65.1895
 211697863.8492,  51.4418,  61.9150
 223395727.6984,  51.0376,  58.6483
 235093591.5477,  50.7502,  55.8299
 246791455.3969,  50.5337,  53.2833
 258489319.2461,  50.3284,  51.0851
 270187183.0953,  50.1361,  48.9734
 281885046.9446,  49.9037,  47.1328
 293582910.7938,  49.7677,  45.3576
 305280774.6430,  49.6150,  43.7458
 316978638.4922,  49.5059,  42.3266
 335518503.2732,  49.3143,  40.2008
 354058368.0542,  49.1144,  38.2551
 372598232.8351,  48.8076,  36.4868
 391138097.6161,  48.7133,  35.0621
 409677962.3971,  48.5581,  33.6993
 428217827.1780,  48.3518,  32.4640
 446757691.9590,  48.2475,  31.2692
 465297556.7400,  48.1032,  30.1698
 483837421.5209,  47.9881,  29.2110
 502377286.3019,  47.9251,  28.3365
 531760991.7824,  47.7485,  27.0310
 561144697.2629,  47.6041,  25.9183
 590528402.7434,  47.2618,  24.9233
 619912108.2239,  47.2392,  23.9905
 649295813.7045,  47.0736,  23.1805
 678679519.1850,  46.8927,  22.3618
 708063224.6655,  46.7746,  21.6161
 737446930.1460,  46.6608,  20.9443
 766830635.6265,  46.5358,  20.3681
 796214341.1070,  46.4367,  19.7905
 842784375.8923,  46.3336,  18.8304
 889354410.6777,  46.2956,  18.2669
 935924445.4630,  46.0193,  17.5710
 982494480.2484,  45.9534,  16.7534
1029064515.0337,  46.3397,  16.4589
1075634549.8190,  46.0024,  16.2519
1122204584.6044,  45.7251,  15.7125
1168774619.3897,  45.8206,  15.1975
1215344654.1750,  45.8194,  14.9706
1261914688.9604,  45.8699,  14.7854
1335723220.0643,  45.6130,  14.4724
1409531751.1683,  45.5725,  14.1443
1483340282.2723,  45.3622,  13.9372
1557148813.3762,  45.1446,  13.7137
1630957344.4802,  44.9802,  13.4793
1704765875.5842,  44.7640,  13.2748
1778574406.6881,  44.6182,  13.0566
1852382937.7921,  44.4805,  12.8440
1926191468.8960,  44.3452,  12.7038
2000000000.0000,  44.2128,  12.5345
2116978638.4922,  43.9901,  12.2807
2233957276.9844,  43.9577,  12.0593
2350935915.4767,  43.9187,  11.9658
2467914553.9689,  43.8563,  11.9963
2584893192.4611,  43.6356,  12.0470
2701871830.9533,  43.4588,  12.0540
2818850469.4456,  43.2912,  12.0764
2935829107.9378,  43.0630,  12.0861
3052807746.4300,  42.8116,  12.0882
3169786384.9222,  42.6260,  12.0231
3355185032.7319,  42.4203,  12.0013
3540583680.5416,  42.2528,  12.0350
3725982328.3513,  42.1005,  12.1775
3911380976.1610,  41.8496,  12.3271
4096779623.9707,  41.5991,  12.4741
4282178271.7804,  41.3486,  12.6216
4467576919.5901,  41.0385,  12.7321
4652975567.3998,  40.8317,  12.8036
4838374215.2095,  40.6390,  12.9391
5023772863.0192,  40.4128,  13.1000
5317609917.8242,  40.0600,  13.3693
5611446972.6293,  39.6689,  13.6215
5905284027.4344,  39.3211,  13.8670
6199121082.2395,  38.9831,  14.1411
6492958137.0446,  38.6689,  14.3908
6786795191.8496,  38.2643,  14.6740
7080632246.6547,  37.9136,  14.8904
7374469301.4598,  37.5192,  15.1465
7668306356.2649,  37.1446,  15.3603
7962143411.0699,  36.7493,  15.5859
8427843758.9233,  36.1355,  15.8994
8893544106.7767,  35.5628,  16.1881
9359244454.6301,  34.9795,  16.4714
9824944802.4835,  34.4243,  16.7374
10290645150.3369,  33.8641,  17.0144
10756345498.1903,  33.3346,  17.2504
11222045846.0437,  32.7855,  17.4795
11687746193.8971,  32.2550,  17.6942
12153446541.7505,  31.7160,  17.9035
12619146889.6039,  31.2103,  18.0871
13357232200.6435,  30.4097,  18.3842
14095317511.6831,  29.6318,  18.5978
14833402822.7227,  28.8642,  18.8179
15571488133.7623,  28.1212,  18.9885
16309573444.8019,  27.4127,  19.1633
17047658755.8416,  26.6920,  19.2503
17785744066.8812,  26.0349,  19.3903
18523829377.9208,  25.3549,  19.4575
19261914688.9604,  24.7298,  19.4844
20000000000.0000,  24.1086,  19.5591

