85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:00:05"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  30.1018,  35.2728
 211697863.8492,  29.9808,  33.5300
 223395727.6984,  29.9135,  31.8564
 235093591.5477,  29.8373,  30.3975
 246791455.3969,  29.7879,  29.0284
 258489319.2461,  29.7278,  27.8509
 270187183.0953,  29.6919,  26.6763
 281885046.9446,  29.6571,  25.7300
 293582910.7938,  29.6297,  24.7878
 305280774.6430,  29.5669,  23.9444
 316978638.4922,  29.5623,  23.1334
 335518503.2732,  29.4998,  22.0237
 354058368.0542,  29.4752,  21.0502
 372598232.8351,  29.3372,  20.0842
 391138097.6161,  29.3117,  19.3439
 409677962.3971,  29.2520,  18.6032
 428217827.1780,  29.1679,  17.8896
 446757691.9590,  29.1379,  17.2629
 465297556.7400,  29.0738,  16.6657
 483837421.5209,  29.0397,  16.1083
 502377286.3019,  29.0208,  15.6592
 531760991.7824,  28.9469,  14.9473
 561144697.2629,  28.8653,  14.3183
 590528402.7434,  28.7716,  13.7891
 619912108.2239,  28.7004,  13.2635
 649295813.7045,  28.6273,  12.8360
 678679519.1850,  28.4317,  12.3942
 708063224.6655,  28.4662,  11.9793
 737446930.1460,  28.4050,  11.6138
 766830635.6265,  28.3244,  11.2764
 796214341.1070,  28.2786,  10.9511
 842784375.8923,  28.2167,  10.4151
 889354410.6777,  28.2075,  10.0960
 935924445.4630,  28.0489,   9.7167
 982494480.2484,  28.0121,   9.2401
1029064515.0337,  28.2441,   9.0611
1075634549.8190,  28.0466,   8.9562
1122204584.6044,  27.8672,   8.6603
1168774619.3897,  27.9203,   8.3563
1215344654.1750,  27.9262,   8.2036
1261914688.9604,  27.9597,   8.0981
1335723220.0643,  27.8000,   7.9265
1409531751.1683,  27.7727,   7.7390
1483340282.2723,  27.6460,   7.5992
1557148813.3762,  27.5100,   7.4700
1630957344.4802,  27.4125,   7.3314
1704765875.5842,  27.2854,   7.2075
1778574406.6881,  27.1944,   7.0835
1852382937.7921,  27.1137,   6.9517
1926191468.8960,  27.0344,   6.8732
2000000000.0000,  26.9473,   6.7579
2116978638.4922,  26.8100,   6.5937
2233957276.9844,  26.7749,   6.4288
2350935915.4767,  26.7509,   6.3601
2467914553.9689,  26.7187,   6.3519
2584893192.4611,  26.5829,   6.3687
2701871830.9533,  26.4761,   6.3545
2818850469.4456,  26.3867,   6.3437
2935829107.9378,  26.2497,   6.3371
3052807746.4300,  26.1068,   6.3229
3169786384.9222,  26.0060,   6.2697
3355185032.7319,  25.8811,   6.2242
3540583680.5416,  25.7785,   6.2061
3725982328.3513,  25.7007,   6.2452
3911380976.1610,  25.5641,   6.2989
4096779623.9707,  25.4152,   6.3469
4282178271.7804,  25.2861,   6.3888
4467576919.5901,  25.1259,   6.4144
4652975567.3998,  25.0166,   6.4335
4838374215.2095,  24.9227,   6.4735
5023772863.0192,  24.8114,   6.5276
5317609917.8242,  24.6238,   6.6532
5611446972.6293,  24.4293,   6.7456
5905284027.4344,  24.2585,   6.8442
6199121082.2395,  24.0609,   6.9556
6492958137.0446,  23.9103,   7.0350
6786795191.8496,  23.7078,   7.1921
7080632246.6547,  23.5417,   7.2564
7374469301.4598,  23.3635,   7.4062
7668306356.2649,  23.1750,   7.5035
7962143411.0699,  22.9977,   7.6226
8427843758.9233,  22.6826,   7.7902
8893544106.7767,  22.4065,   7.9435
9359244454.6301,  22.0990,   8.0923
9824944802.4835,  21.8051,   8.2471
10290645150.3369,  21.5163,   8.3972
10756345498.1903,  21.2411,   8.5071
11222045846.0437,  20.9450,   8.6150
11687746193.8971,  20.6699,   8.7169
12153446541.7505,  20.3857,   8.8122
12619146889.6039,  20.1339,   8.8923
13357232200.6435,  19.7158,   9.0182
14095317511.6831,  19.3360,   9.0918
14833402822.7227,  18.9537,   9.1727
15571488133.7623,  18.6059,   9.2263
16309573444.8019,  18.2751,   9.2983
17047658755.8416,  17.9437,   9.3082
17785744066.8812,  17.6517,   9.3784
18523829377.9208,  17.3394,   9.3848
19261914688.9604,  17.0735,   9.3914
20000000000.0000,  16.7980,   9.4139

