85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:00:35"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  57.0955,  70.6977
 211697863.8492,  56.5606,  66.9978
 223395727.6984,  56.0341,  63.5232
 235093591.5477,  55.6396,  60.3987
 246791455.3969,  55.3292,  57.6454
 258489319.2461,  54.9915,  55.1139
 270187183.0953,  54.6663,  52.7675
 281885046.9446,  54.3587,  50.8099
 293582910.7938,  54.1136,  48.8708
 305280774.6430,  53.8895,  47.1147
 316978638.4922,  53.6513,  45.5280
 335518503.2732,  53.3852,  43.1723
 354058368.0542,  53.0896,  41.0630
 372598232.8351,  52.6979,  39.1686
 391138097.6161,  52.5364,  37.6354
 409677962.3971,  52.2773,  36.1148
 428217827.1780,  52.0231,  34.6996
 446757691.9590,  51.8689,  33.4458
 465297556.7400,  51.6593,  32.2813
 483837421.5209,  51.4753,  31.2078
 502377286.3019,  51.3448,  30.2392
 531760991.7824,  51.1020,  28.8187
 561144697.2629,  50.8658,  27.6045
 590528402.7434,  50.4675,  26.5213
 619912108.2239,  50.3801,  25.5251
 649295813.7045,  50.1596,  24.6428
 678679519.1850,  49.8887,  23.7382
 708063224.6655,  49.7205,  22.9238
 737446930.1460,  49.5432,  22.2142
 766830635.6265,  49.3462,  21.5552
 796214341.1070,  49.1950,  20.9301
 842784375.8923,  49.0428,  19.9349
 889354410.6777,  48.9522,  19.3163
 935924445.4630,  48.6228,  18.5848
 982494480.2484,  48.5191,  17.7126
1029064515.0337,  48.8701,  17.3718
1075634549.8190,  48.4679,  17.1305
1122204584.6044,  48.1152,  16.5635
1168774619.3897,  48.1846,  16.0169
1215344654.1750,  48.1382,  15.7369
1261914688.9604,  48.1413,  15.5306
1335723220.0643,  47.8224,  15.2004
1409531751.1683,  47.7301,  14.8433
1483340282.2723,  47.4730,  14.6089
1557148813.3762,  47.1944,  14.3686
1630957344.4802,  46.9862,  14.1158
1704765875.5842,  46.7231,  13.8855
1778574406.6881,  46.5376,  13.6633
1852382937.7921,  46.3642,  13.4365
1926191468.8960,  46.1907,  13.2831
2000000000.0000,  46.0113,  13.0907
2116978638.4922,  45.7570,  12.8122
2233957276.9844,  45.6582,  12.5653
2350935915.4767,  45.5833,  12.4668
2467914553.9689,  45.4806,  12.4840
2584893192.4611,  45.2336,  12.5274
2701871830.9533,  45.0201,  12.5353
2818850469.4456,  44.8123,  12.5546
2935829107.9378,  44.5421,  12.5692
3052807746.4300,  44.2462,  12.5600
3169786384.9222,  44.0432,  12.4713
3355185032.7319,  43.7952,  12.4507
3540583680.5416,  43.5848,  12.4551
3725982328.3513,  43.3994,  12.5804
3911380976.1610,  43.1154,  12.7182
4096779623.9707,  42.8349,  12.8593
4282178271.7804,  42.5534,  12.9973
4467576919.5901,  42.2184,  13.0845
4652975567.3998,  41.9803,  13.1587
4838374215.2095,  41.7596,  13.2815
5023772863.0192,  41.5120,  13.4261
5317609917.8242,  41.1369,  13.6916
5611446972.6293,  40.7329,  13.9294
5905284027.4344,  40.3640,  14.1744
6199121082.2395,  39.9625,  14.4159
6492958137.0446,  39.6042,  14.6561
6786795191.8496,  39.1951,  14.9349
7080632246.6547,  38.8286,  15.1655
7374469301.4598,  38.4324,  15.4280
7668306356.2649,  38.0461,  15.6736
7962143411.0699,  37.6409,  15.9196
8427843758.9233,  36.9910,  16.2939
8893544106.7767,  36.3691,  16.6283
9359244454.6301,  35.7220,  16.9467
9824944802.4835,  35.0967,  17.2273
10290645150.3369,  34.4634,  17.5041
10756345498.1903,  33.8729,  17.7353
11222045846.0437,  33.2739,  17.9510
11687746193.8971,  32.6840,  18.1497
12153446541.7505,  32.0923,  18.3367
12619146889.6039,  31.5392,  18.4981
13357232200.6435,  30.6702,  18.7584
14095317511.6831,  29.8368,  18.9245
14833402822.7227,  29.0229,  19.0943
15571488133.7623,  28.2421,  19.2073
16309573444.8019,  27.5082,  19.3247
17047658755.8416,  26.7750,  19.3567
17785744066.8812,  26.1113,  19.4464
18523829377.9208,  25.4289,  19.4650
19261914688.9604,  24.8091,  19.4489
20000000000.0000,  24.1972,  19.4835

