85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 16:29:50"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  79.2155, 150.2628
 211697863.8492,  78.9729, 141.2719
 223395727.6984,  78.6826, 133.3360
 235093591.5477,  78.6038, 126.3350
 246791455.3969,  78.3321, 119.9062
 258489319.2461,  78.1963, 114.2668
 270187183.0953,  77.9757, 109.1794
 281885046.9446,  77.9240, 104.4510
 293582910.7938,  77.8472, 100.0688
 305280774.6430,  77.7341,  96.1385
 316978638.4922,  77.6422,  92.5311
 335518503.2732,  77.5015,  87.3187
 354058368.0542,  77.3677,  82.6385
 372598232.8351,  77.2599,  78.4819
 391138097.6161,  77.1149,  74.8309
 409677962.3971,  77.0199,  71.5087
 428217827.1780,  76.9863,  68.4816
 446757691.9590,  76.9072,  65.7131
 465297556.7400,  76.8391,  63.1342
 483837421.5209,  76.7258,  60.8301
 502377286.3019,  76.6876,  58.6729
 531760991.7824,  76.4317,  55.4968
 561144697.2629,  76.4565,  52.7474
 590528402.7434,  76.3803,  50.4026
 619912108.2239,  76.2965,  48.0830
 649295813.7045,  76.3246,  46.1735
 678679519.1850,  76.0969,  44.3226
 708063224.6655,  76.0871,  42.6224
 737446930.1460,  75.9409,  40.9883
 766830635.6265,  75.8119,  39.5351
 796214341.1070,  75.7182,  37.8236
 842784375.8923,  76.8536,  36.4317
 889354410.6777,  76.2916,  34.9515
 935924445.4630,  76.6124,  33.3035
 982494480.2484,  76.5824,  32.7152
1029064515.0337,  76.2650,  31.7102
1075634549.8190,  76.0344,  30.6098
1122204584.6044,  75.9943,  29.5172
1168774619.3897,  76.0936,  28.9300
1215344654.1750,  75.9388,  28.2560
1261914688.9604,  75.8197,  27.5394
1335723220.0643,  75.7069,  26.5725
1409531751.1683,  75.5559,  25.8493
1483340282.2723,  75.2889,  25.0325
1557148813.3762,  75.2078,  24.3994
1630957344.4802,  75.0389,  23.8560
1704765875.5842,  74.7819,  23.1782
1778574406.6881,  74.8486,  22.5394
1852382937.7921,  74.9203,  22.1418
1926191468.8960,  74.9233,  21.8997
2000000000.0000,  74.9556,  21.6408
2116978638.4922,  74.7349,  21.4089
2233957276.9844,  74.5137,  21.1105
2350935915.4767,  74.2913,  20.8005
2467914553.9689,  74.1300,  20.4863
2584893192.4611,  74.0943,  20.2780
2701871830.9533,  74.0774,  20.1032
2818850469.4456,  74.1447,  20.0405
2935829107.9378,  74.1785,  20.1306
3052807746.4300,  74.0732,  20.3488
3169786384.9222,  73.8436,  20.5153
3355185032.7319,  73.5219,  20.7096
3540583680.5416,  73.1257,  20.8645
3725982328.3513,  72.8256,  20.9575
3911380976.1610,  72.6023,  21.1369
4096779623.9707,  72.3209,  21.4036
4282178271.7804,  72.0343,  21.6317
4467576919.5901,  71.7697,  21.8578
4652975567.3998,  71.5508,  22.1503
4838374215.2095,  71.3171,  22.4786
5023772863.0192,  71.0505,  22.8657
5317609917.8242,  70.5395,  23.4787
5611446972.6293,  69.9659,  24.0418
5905284027.4344,  69.4173,  24.5738
6199121082.2395,  68.8587,  25.1153
6492958137.0446,  68.2957,  25.6633
6786795191.8496,  67.7458,  26.2130
7080632246.6547,  67.1507,  26.7757
7374469301.4598,  66.5479,  27.3304
7668306356.2649,  65.9101,  27.8720
7962143411.0699,  65.2813,  28.3831
8427843758.9233,  64.2528,  29.1788
8893544106.7767,  63.2120,  29.9264
9359244454.6301,  62.1432,  30.6522
9824944802.4835,  61.0701,  31.3271
10290645150.3369,  59.9841,  31.9535
10756345498.1903,  58.8993,  32.5418
11222045846.0437,  57.8033,  33.0835
11687746193.8971,  56.7167,  33.5729
12153446541.7505,  55.6200,  34.0374
12619146889.6039,  54.5362,  34.4529
13357232200.6435,  52.8268,  35.0383
14095317511.6831,  51.1485,  35.5017
14833402822.7227,  49.5116,  35.8852
15571488133.7623,  47.8998,  36.1862
16309573444.8019,  46.3476,  36.4033
17047658755.8416,  44.8389,  36.5604
17785744066.8812,  43.3632,  36.6514
18523829377.9208,  41.9357,  36.6884
19261914688.9604,  40.5695,  36.6649
20000000000.0000,  39.2566,  36.5982

