85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 16:10:29"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  80.4710, 146.4419
 211697863.8492,  80.1189, 137.6398
 223395727.6984,  79.8520, 129.9309
 235093591.5477,  79.5367, 123.1531
 246791455.3969,  79.3374, 117.1170
 258489319.2461,  79.1012, 111.6292
 270187183.0953,  78.9566, 106.6124
 281885046.9446,  78.8313, 101.9855
 293582910.7938,  78.6777,  97.8111
 305280774.6430,  78.5957,  93.9648
 316978638.4922,  78.4215,  90.4742
 335518503.2732,  78.2990,  85.4027
 354058368.0542,  78.1819,  80.8146
 372598232.8351,  77.9963,  76.9836
 391138097.6161,  77.8767,  73.2285
 409677962.3971,  77.6976,  70.0685
 428217827.1780,  77.6572,  67.0982
 446757691.9590,  77.5899,  64.3497
 465297556.7400,  77.4577,  61.8995
 483837421.5209,  77.4086,  59.6282
 502377286.3019,  77.3061,  57.5767
 531760991.7824,  77.0434,  54.4887
 561144697.2629,  76.8975,  51.8244
 590528402.7434,  76.8832,  49.4701
 619912108.2239,  76.8470,  47.4353
 649295813.7045,  76.8227,  45.5179
 678679519.1850,  76.5757,  43.7243
 708063224.6655,  76.5685,  42.0932
 737446930.1460,  76.4133,  40.5518
 766830635.6265,  76.2363,  39.2032
 796214341.1070,  76.0197,  37.7013
 842784375.8923,  76.8899,  35.7536
 889354410.6777,  76.4327,  34.5350
 935924445.4630,  76.6418,  32.5923
 982494480.2484,  76.9289,  32.1998
1029064515.0337,  76.5169,  31.3000
1075634549.8190,  76.2304,  30.1285
1122204584.6044,  76.3920,  29.1010
1168774619.3897,  76.2782,  28.5619
1215344654.1750,  76.1591,  27.8459
1261914688.9604,  76.0641,  27.1472
1335723220.0643,  75.9330,  26.2194
1409531751.1683,  75.8516,  25.3879
1483340282.2723,  75.6726,  24.5983
1557148813.3762,  75.6181,  24.0077
1630957344.4802,  75.5064,  23.4753
1704765875.5842,  75.3231,  22.8472
1778574406.6881,  75.4556,  22.3557
1852382937.7921,  75.4324,  22.0063
1926191468.8960,  75.4099,  21.7462
2000000000.0000,  75.4251,  21.5028
2116978638.4922,  75.3037,  21.2844
2233957276.9844,  75.1381,  21.1263
2350935915.4767,  74.9135,  20.9449
2467914553.9689,  74.6770,  20.7525
2584893192.4611,  74.5360,  20.5929
2701871830.9533,  74.3943,  20.4462
2818850469.4456,  74.3611,  20.3289
2935829107.9378,  74.3347,  20.3673
3052807746.4300,  74.2094,  20.4912
3169786384.9222,  74.0315,  20.6337
3355185032.7319,  73.7083,  20.7879
3540583680.5416,  73.4081,  20.9192
3725982328.3513,  73.1675,  21.0691
3911380976.1610,  72.9532,  21.2970
4096779623.9707,  72.7047,  21.6043
4282178271.7804,  72.4133,  21.9274
4467576919.5901,  72.0943,  22.2519
4652975567.3998,  71.7791,  22.5357
4838374215.2095,  71.4883,  22.8521
5023772863.0192,  71.1828,  23.2021
5317609917.8242,  70.6789,  23.7738
5611446972.6293,  70.1236,  24.3459
5905284027.4344,  69.5807,  24.9007
6199121082.2395,  69.0113,  25.4888
6492958137.0446,  68.4195,  26.0564
6786795191.8496,  67.8218,  26.6258
7080632246.6547,  67.1954,  27.1799
7374469301.4598,  66.5675,  27.7238
7668306356.2649,  65.9190,  28.2654
7962143411.0699,  65.2712,  28.7863
8427843758.9233,  64.2187,  29.5943
8893544106.7767,  63.1446,  30.3491
9359244454.6301,  62.0610,  31.0643
9824944802.4835,  60.9647,  31.7247
10290645150.3369,  59.8540,  32.3554
10756345498.1903,  58.7427,  32.9310
11222045846.0437,  57.6345,  33.4676
11687746193.8971,  56.5178,  33.9527
12153446541.7505,  55.3932,  34.4110
12619146889.6039,  54.2932,  34.8046
13357232200.6435,  52.5672,  35.3470
14095317511.6831,  50.8819,  35.8072
14833402822.7227,  49.2157,  36.1670
15571488133.7623,  47.5960,  36.4482
16309573444.8019,  46.0153,  36.6514
17047658755.8416,  44.4908,  36.7745
17785744066.8812,  43.0191,  36.8414
18523829377.9208,  41.5923,  36.8524
19261914688.9604,  40.2202,  36.8131
20000000000.0000,  38.8973,  36.7313

