85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:02:23"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  58.3146,  70.0109
 211697863.8492,  57.7439,  66.2480
 223395727.6984,  57.2001,  62.8506
 235093591.5477,  56.7047,  59.7189
 246791455.3969,  56.3181,  56.8632
 258489319.2461,  55.9402,  54.2796
 270187183.0953,  55.5751,  51.9640
 281885046.9446,  55.2549,  49.9753
 293582910.7938,  54.9684,  48.0356
 305280774.6430,  54.7252,  46.2838
 316978638.4922,  54.4977,  44.6881
 335518503.2732,  54.1709,  42.3310
 354058368.0542,  53.8802,  40.2966
 372598232.8351,  53.4919,  38.4269
 391138097.6161,  53.2820,  36.8724
 409677962.3971,  53.0221,  35.4354
 428217827.1780,  52.7686,  34.0684
 446757691.9590,  52.5872,  32.8099
 465297556.7400,  52.3816,  31.6708
 483837421.5209,  52.1834,  30.5887
 502377286.3019,  52.0506,  29.6436
 531760991.7824,  51.8067,  28.2252
 561144697.2629,  51.5781,  27.0459
 590528402.7434,  51.2150,  25.9836
 619912108.2239,  51.1393,  25.0175
 649295813.7045,  50.9685,  24.1740
 678679519.1850,  50.7399,  23.3408
 708063224.6655,  50.5499,  22.5483
 737446930.1460,  50.3655,  21.8505
 766830635.6265,  50.1718,  21.2227
 796214341.1070,  50.0264,  20.6350
 842784375.8923,  49.8817,  19.6614
 889354410.6777,  49.7963,  19.0805
 935924445.4630,  49.4730,  18.3607
 982494480.2484,  49.3816,  17.5038
1029064515.0337,  49.7513,  17.1918
1075634549.8190,  49.3549,  16.9758
1122204584.6044,  49.0113,  16.3913
1168774619.3897,  49.0918,  15.8734
1215344654.1750,  49.0716,  15.6344
1261914688.9604,  49.0868,  15.4468
1335723220.0643,  48.7648,  15.1435
1409531751.1683,  48.6730,  14.8041
1483340282.2723,  48.4129,  14.5776
1557148813.3762,  48.1477,  14.3539
1630957344.4802,  47.9472,  14.1156
1704765875.5842,  47.6965,  13.9041
1778574406.6881,  47.5116,  13.7021
1852382937.7921,  47.3299,  13.4814
1926191468.8960,  47.1567,  13.3427
2000000000.0000,  46.9805,  13.1520
2116978638.4922,  46.7303,  12.8913
2233957276.9844,  46.6401,  12.6576
2350935915.4767,  46.5719,  12.5502
2467914553.9689,  46.4834,  12.5829
2584893192.4611,  46.2371,  12.6494
2701871830.9533,  46.0298,  12.6639
2818850469.4456,  45.8433,  12.6938
2935829107.9378,  45.5853,  12.6978
3052807746.4300,  45.3169,  12.7044
3169786384.9222,  45.1092,  12.6508
3355185032.7319,  44.8442,  12.6170
3540583680.5416,  44.6334,  12.6265
3725982328.3513,  44.4526,  12.7545
3911380976.1610,  44.1715,  12.9092
4096779623.9707,  43.8773,  13.0316
4282178271.7804,  43.6020,  13.1534
4467576919.5901,  43.2915,  13.2497
4652975567.3998,  43.0513,  13.3317
4838374215.2095,  42.8279,  13.4465
5023772863.0192,  42.5923,  13.5995
5317609917.8242,  42.1928,  13.8611
5611446972.6293,  41.7788,  14.0884
5905284027.4344,  41.4017,  14.2986
6199121082.2395,  40.9947,  14.5390
6492958137.0446,  40.6342,  14.7350
6786795191.8496,  40.2297,  15.0052
7080632246.6547,  39.8526,  15.1853
7374469301.4598,  39.4707,  15.4275
7668306356.2649,  39.0814,  15.6291
7962143411.0699,  38.7057,  15.8435
8427843758.9233,  38.0924,  16.1550
8893544106.7767,  37.5277,  16.4445
9359244454.6301,  36.9365,  16.7203
9824944802.4835,  36.3673,  16.9980
10290645150.3369,  35.8160,  17.2619
10756345498.1903,  35.2756,  17.4780
11222045846.0437,  34.7202,  17.7021
11687746193.8971,  34.1940,  17.9099
12153446541.7505,  33.6592,  18.1086
12619146889.6039,  33.1661,  18.2845
13357232200.6435,  32.3752,  18.5743
14095317511.6831,  31.6106,  18.7750
14833402822.7227,  30.8686,  18.9833
15571488133.7623,  30.1625,  19.1516
16309573444.8019,  29.4916,  19.3352
17047658755.8416,  28.8049,  19.4454
17785744066.8812,  28.1826,  19.6132
18523829377.9208,  27.5276,  19.7163
19261914688.9604,  26.9266,  19.7813
20000000000.0000,  26.3293,  19.9062

