85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:02:36"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  59.6162,  71.1795
 211697863.8492,  59.0357,  67.3801
 223395727.6984,  58.4367,  63.9113
 235093591.5477,  57.9414,  60.7794
 246791455.3969,  57.5847,  57.9750
 258489319.2461,  57.2149,  55.3988
 270187183.0953,  56.8846,  53.0855
 281885046.9446,  56.5534,  51.0409
 293582910.7938,  56.2787,  49.0673
 305280774.6430,  56.0345,  47.3180
 316978638.4922,  55.8185,  45.6973
 335518503.2732,  55.5293,  43.3543
 354058368.0542,  55.2277,  41.2556
 372598232.8351,  54.8380,  39.3956
 391138097.6161,  54.6725,  37.8515
 409677962.3971,  54.4404,  36.3519
 428217827.1780,  54.1906,  34.9380
 446757691.9590,  54.0243,  33.6914
 465297556.7400,  53.8371,  32.5173
 483837421.5209,  53.6663,  31.4426
 502377286.3019,  53.5454,  30.4598
 531760991.7824,  53.3336,  29.0591
 561144697.2629,  53.1111,  27.8627
 590528402.7434,  52.7134,  26.7930
 619912108.2239,  52.6516,  25.7878
 649295813.7045,  52.4313,  24.9529
 678679519.1850,  52.1092,  24.0456
 708063224.6655,  52.0439,  23.2313
 737446930.1460,  51.8947,  22.5236
 766830635.6265,  51.7214,  21.8768
 796214341.1070,  51.5932,  21.2624
 842784375.8923,  51.4623,  20.2636
 889354410.6777,  51.4023,  19.6382
 935924445.4630,  51.0923,  18.9074
 982494480.2484,  51.0015,  18.0352
1029064515.0337,  51.4104,  17.7329
1075634549.8190,  51.0188,  17.5235
1122204584.6044,  50.6820,  16.9552
1168774619.3897,  50.7732,  16.3941
1215344654.1750,  50.7572,  16.1576
1261914688.9604,  50.7889,  15.9606
1335723220.0643,  50.4871,  15.6352
1409531751.1683,  50.4292,  15.2929
1483340282.2723,  50.1915,  15.0722
1557148813.3762,  49.9377,  14.8606
1630957344.4802,  49.7497,  14.6172
1704765875.5842,  49.4903,  14.4070
1778574406.6881,  49.3177,  14.1842
1852382937.7921,  49.1550,  13.9574
1926191468.8960,  49.0130,  13.8075
2000000000.0000,  48.8533,  13.6359
2116978638.4922,  48.5928,  13.3760
2233957276.9844,  48.5484,  13.1493
2350935915.4767,  48.4931,  13.0632
2467914553.9689,  48.4142,  13.1073
2584893192.4611,  48.1686,  13.1746
2701871830.9533,  47.9747,  13.1869
2818850469.4456,  47.7900,  13.2299
2935829107.9378,  47.5331,  13.2594
3052807746.4300,  47.2508,  13.2902
3169786384.9222,  47.0372,  13.2174
3355185032.7319,  46.8052,  13.1988
3540583680.5416,  46.6148,  13.2400
3725982328.3513,  46.4383,  13.3982
3911380976.1610,  46.1571,  13.5622
4096779623.9707,  45.8867,  13.7155
4282178271.7804,  45.6201,  13.8832
4467576919.5901,  45.2926,  14.0124
4652975567.3998,  45.0616,  14.1036
4838374215.2095,  44.8567,  14.2628
5023772863.0192,  44.6033,  14.4654
5317609917.8242,  44.1903,  14.7641
5611446972.6293,  43.7398,  15.0514
5905284027.4344,  43.3436,  15.3184
6199121082.2395,  42.8846,  15.5834
6492958137.0446,  42.5029,  15.8475
6786795191.8496,  42.0285,  16.1314
7080632246.6547,  41.6384,  16.3554
7374469301.4598,  41.1890,  16.6155
7668306356.2649,  40.7843,  16.8322
7962143411.0699,  40.3495,  17.0730
8427843758.9233,  39.6774,  17.4071
8893544106.7767,  39.0367,  17.7167
9359244454.6301,  38.3919,  18.0202
9824944802.4835,  37.7607,  18.2934
10290645150.3369,  37.1284,  18.5751
10756345498.1903,  36.5364,  18.8113
11222045846.0437,  35.9238,  19.0358
11687746193.8971,  35.3275,  19.2487
12153446541.7505,  34.7249,  19.4496
12619146889.6039,  34.1580,  19.6263
13357232200.6435,  33.2596,  19.8973
14095317511.6831,  32.3934,  20.0713
14833402822.7227,  31.5505,  20.2513
15571488133.7623,  30.7372,  20.3770
16309573444.8019,  29.9666,  20.5119
17047658755.8416,  29.1871,  20.5518
17785744066.8812,  28.4805,  20.6446
18523829377.9208,  27.7517,  20.6657
19261914688.9604,  27.0870,  20.6377
20000000000.0000,  26.4381,  20.6672

