85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:01:28"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  59.3474,  72.2161
 211697863.8492,  58.8823,  68.5078
 223395727.6984,  58.4031,  64.9590
 235093591.5477,  57.9884,  61.9171
 246791455.3969,  57.6509,  59.1168
 258489319.2461,  57.3673,  56.4856
 270187183.0953,  57.0481,  54.2012
 281885046.9446,  56.7935,  52.1694
 293582910.7938,  56.5686,  50.1902
 305280774.6430,  56.3482,  48.4426
 316978638.4922,  56.1718,  46.8076
 335518503.2732,  55.8859,  44.3918
 354058368.0542,  55.6413,  42.2864
 372598232.8351,  55.2671,  40.3107
 391138097.6161,  55.1140,  38.7414
 409677962.3971,  54.9026,  37.2346
 428217827.1780,  54.6661,  35.8182
 446757691.9590,  54.5174,  34.5206
 465297556.7400,  54.3312,  33.3237
 483837421.5209,  54.1805,  32.2227
 502377286.3019,  54.0695,  31.2510
 531760991.7824,  53.8453,  29.8010
 561144697.2629,  53.6258,  28.5526
 590528402.7434,  53.2510,  27.4511
 619912108.2239,  53.1866,  26.4487
 649295813.7045,  52.9979,  25.5243
 678679519.1850,  52.6964,  24.6162
 708063224.6655,  52.6293,  23.7936
 737446930.1460,  52.4830,  23.0915
 766830635.6265,  52.3032,  22.4329
 796214341.1070,  52.1765,  21.8021
 842784375.8923,  52.0402,  20.7650
 889354410.6777,  51.9717,  20.1316
 935924445.4630,  51.6504,  19.3792
 982494480.2484,  51.5680,  18.4752
1029064515.0337,  51.9786,  18.1454
1075634549.8190,  51.5833,  17.9170
1122204584.6044,  51.2403,  17.3365
1168774619.3897,  51.3436,  16.7716
1215344654.1750,  51.3383,  16.5023
1261914688.9604,  51.3686,  16.2988
1335723220.0643,  51.0535,  15.9798
1409531751.1683,  50.9894,  15.6157
1483340282.2723,  50.7401,  15.3828
1557148813.3762,  50.4858,  15.1568
1630957344.4802,  50.2849,  14.9079
1704765875.5842,  50.0410,  14.6885
1778574406.6881,  49.8705,  14.4547
1852382937.7921,  49.7091,  14.2236
1926191468.8960,  49.5497,  14.0774
2000000000.0000,  49.3891,  13.8931
2116978638.4922,  49.1208,  13.6211
2233957276.9844,  49.0804,  13.3843
2350935915.4767,  49.0286,  13.2918
2467914553.9689,  48.9578,  13.3249
2584893192.4611,  48.7172,  13.3897
2701871830.9533,  48.5222,  13.4099
2818850469.4456,  48.3271,  13.4598
2935829107.9378,  48.0696,  13.4873
3052807746.4300,  47.7942,  13.4957
3169786384.9222,  47.5933,  13.4419
3355185032.7319,  47.3509,  13.4396
3540583680.5416,  47.1514,  13.4876
3725982328.3513,  46.9726,  13.6566
3911380976.1610,  46.6865,  13.8261
4096779623.9707,  46.4048,  13.9897
4282178271.7804,  46.1247,  14.1632
4467576919.5901,  45.7920,  14.2813
4652975567.3998,  45.5665,  14.3841
4838374215.2095,  45.3449,  14.5520
5023772863.0192,  45.0820,  14.7454
5317609917.8242,  44.6714,  15.0509
5611446972.6293,  44.2195,  15.3264
5905284027.4344,  43.8140,  15.6019
6199121082.2395,  43.3812,  15.8599
6492958137.0446,  42.9879,  16.1418
6786795191.8496,  42.5482,  16.4229
7080632246.6547,  42.1524,  16.6823
7374469301.4598,  41.7213,  16.9383
7668306356.2649,  41.3297,  17.2047
7962143411.0699,  40.8961,  17.4550
8427843758.9233,  40.2334,  17.8451
8893544106.7767,  39.5904,  18.2021
9359244454.6301,  38.9207,  18.5675
9824944802.4835,  38.2841,  18.8959
10290645150.3369,  37.6200,  19.2100
10756345498.1903,  36.9844,  19.4890
11222045846.0437,  36.3382,  19.7564
11687746193.8971,  35.7035,  19.9906
12153446541.7505,  35.0626,  20.2138
12619146889.6039,  34.4613,  20.4020
13357232200.6435,  33.5109,  20.7033
14095317511.6831,  32.5924,  20.8948
14833402822.7227,  31.6994,  21.0907
15571488133.7623,  30.8425,  21.2228
16309573444.8019,  30.0322,  21.3625
17047658755.8416,  29.2169,  21.4084
17785744066.8812,  28.4780,  21.5045
18523829377.9208,  27.7204,  21.5327
19261914688.9604,  27.0297,  21.5118
20000000000.0000,  26.3465,  21.5529

