85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 17:34:30"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  78.8940, 146.5363
 211697863.8492,  78.7385, 137.8781
 223395727.6984,  78.5603, 130.1083
 235093591.5477,  78.3220, 123.3459
 246791455.3969,  78.0149, 117.2460
 258489319.2461,  77.7860, 111.7456
 270187183.0953,  77.6382, 106.6135
 281885046.9446,  77.4587, 102.0709
 293582910.7938,  77.3375,  97.8201
 305280774.6430,  77.2557,  94.0042
 316978638.4922,  77.1029,  90.4059
 335518503.2732,  76.9214,  85.3016
 354058368.0542,  76.8619,  80.7586
 372598232.8351,  76.6412,  76.9003
 391138097.6161,  76.5374,  73.1774
 409677962.3971,  76.4137,  69.9278
 428217827.1780,  76.3134,  66.9450
 446757691.9590,  76.1589,  64.3167
 465297556.7400,  76.0578,  61.8328
 483837421.5209,  75.9851,  59.5742
 502377286.3019,  75.9031,  57.4845
 531760991.7824,  75.6520,  54.3836
 561144697.2629,  75.6518,  51.6459
 590528402.7434,  75.5423,  49.3093
 619912108.2239,  75.4738,  47.2915
 649295813.7045,  75.3546,  45.3305
 678679519.1850,  75.1136,  43.5087
 708063224.6655,  75.1030,  41.8074
 737446930.1460,  74.9691,  40.2002
 766830635.6265,  74.8683,  38.6687
 796214341.1070,  75.1774,  36.9963
 842784375.8923,  75.7800,  36.0138
 889354410.6777,  75.2594,  34.4843
 935924445.4630,  75.5181,  33.0733
 982494480.2484,  75.2596,  32.2131
1029064515.0337,  75.0199,  31.1308
1075634549.8190,  74.9022,  29.9713
1122204584.6044,  74.9017,  29.1534
1168774619.3897,  74.7773,  28.4156
1215344654.1750,  74.6885,  27.6515
1261914688.9604,  74.6083,  26.9295
1335723220.0643,  74.4886,  26.0450
1409531751.1683,  74.2931,  25.2023
1483340282.2723,  74.1623,  24.2464
1557148813.3762,  74.1950,  23.6316
1630957344.4802,  74.0998,  23.0248
1704765875.5842,  74.2073,  22.3775
1778574406.6881,  74.2984,  22.1916
1852382937.7921,  74.1846,  21.8928
1926191468.8960,  74.0861,  21.7130
2000000000.0000,  73.9474,  21.4937
2116978638.4922,  73.7285,  21.1542
2233957276.9844,  73.5564,  20.8267
2350935915.4767,  73.3914,  20.5496
2467914553.9689,  73.2511,  20.2928
2584893192.4611,  73.2555,  20.1260
2701871830.9533,  73.2192,  20.0568
2818850469.4456,  73.1444,  20.1491
2935829107.9378,  72.9635,  20.2253
3052807746.4300,  72.7258,  20.2704
3169786384.9222,  72.5277,  20.2559
3355185032.7319,  72.3036,  20.3146
3540583680.5416,  72.1439,  20.4298
3725982328.3513,  71.9325,  20.6913
3911380976.1610,  71.6347,  20.9808
4096779623.9707,  71.3249,  21.2014
4282178271.7804,  71.0529,  21.4491
4467576919.5901,  70.8206,  21.7418
4652975567.3998,  70.5248,  22.0531
4838374215.2095,  70.2320,  22.3980
5023772863.0192,  69.9177,  22.7150
5317609917.8242,  69.4185,  23.2423
5611446972.6293,  68.8984,  23.7909
5905284027.4344,  68.3746,  24.3539
6199121082.2395,  67.8107,  24.9052
6492958137.0446,  67.2614,  25.4650
6786795191.8496,  66.6661,  26.0287
7080632246.6547,  66.0629,  26.5643
7374469301.4598,  65.4596,  27.1044
7668306356.2649,  64.8267,  27.6189
7962143411.0699,  64.2146,  28.1333
8427843758.9233,  63.1890,  28.9223
8893544106.7767,  62.1379,  29.6742
9359244454.6301,  61.0726,  30.3817
9824944802.4835,  60.0091,  31.0405
10290645150.3369,  58.9206,  31.6580
10756345498.1903,  57.8343,  32.2256
11222045846.0437,  56.7445,  32.7620
11687746193.8971,  55.6636,  33.2560
12153446541.7505,  54.5750,  33.7061
12619146889.6039,  53.5013,  34.0982
13357232200.6435,  51.8021,  34.6157
14095317511.6831,  50.1434,  35.1070
14833402822.7227,  48.5106,  35.4584
15571488133.7623,  46.9348,  35.7547
16309573444.8019,  45.3729,  35.9484
17047658755.8416,  43.9002,  36.0936
17785744066.8812,  42.4218,  36.1770
18523829377.9208,  41.0429,  36.1703
19261914688.9604,  39.6798,  36.1734
20000000000.0000,  38.3809,  36.0430

