85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:56:31"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  78.4229, 148.7669
 211697863.8492,  78.2365, 139.9250
 223395727.6984,  77.9286, 132.1914
 235093591.5477,  77.6661, 125.1542
 246791455.3969,  77.5385, 118.9043
 258489319.2461,  77.3595, 113.1791
 270187183.0953,  77.1767, 108.0880
 281885046.9446,  76.9963, 103.4486
 293582910.7938,  76.9368,  99.1604
 305280774.6430,  76.8323,  95.3307
 316978638.4922,  76.7537,  91.7693
 335518503.2732,  76.6549,  86.5917
 354058368.0542,  76.5486,  81.9298
 372598232.8351,  76.2587,  77.6853
 391138097.6161,  76.2473,  74.2949
 409677962.3971,  76.1119,  71.0008
 428217827.1780,  75.9825,  68.0028
 446757691.9590,  75.9279,  65.2537
 465297556.7400,  75.8125,  62.7477
 483837421.5209,  75.7321,  60.4135
 502377286.3019,  75.7091,  58.2730
 531760991.7824,  75.4213,  55.1717
 561144697.2629,  75.3855,  52.4743
 590528402.7434,  75.1637,  50.0579
 619912108.2239,  75.1766,  47.8766
 649295813.7045,  75.1736,  45.8898
 678679519.1850,  74.9684,  44.1012
 708063224.6655,  74.9812,  42.4270
 737446930.1460,  74.8594,  40.9397
 766830635.6265,  74.7181,  39.6215
 796214341.1070,  74.5631,  38.2775
 842784375.8923,  74.6495,  36.2509
 889354410.6777,  74.7155,  34.8755
 935924445.4630,  74.4078,  33.3267
 982494480.2484,  74.4759,  31.6401
1029064515.0337,  75.2266,  30.8512
1075634549.8190,  74.7815,  30.2164
1122204584.6044,  74.4032,  29.0977
1168774619.3897,  74.7165,  27.9972
1215344654.1750,  74.8398,  27.4064
1261914688.9604,  75.0047,  26.9477
1335723220.0643,  74.6603,  26.2162
1409531751.1683,  74.6682,  25.4084
1483340282.2723,  74.4173,  24.7881
1557148813.3762,  74.2260,  24.2024
1630957344.4802,  74.1203,  23.6214
1704765875.5842,  73.9508,  23.1362
1778574406.6881,  73.8637,  22.7215
1852382937.7921,  73.7383,  22.3041
1926191468.8960,  73.6068,  21.9870
2000000000.0000,  73.4560,  21.6380
2116978638.4922,  73.2330,  21.0615
2233957276.9844,  73.3258,  20.5709
2350935915.4767,  73.4287,  20.3083
2467914553.9689,  73.4897,  20.3034
2584893192.4611,  73.3484,  20.4090
2701871830.9533,  73.1659,  20.4250
2818850469.4456,  72.9550,  20.4615
2935829107.9378,  72.6765,  20.4280
3052807746.4300,  72.4398,  20.3972
3169786384.9222,  72.3039,  20.3567
3355185032.7319,  72.0489,  20.3879
3540583680.5416,  71.8912,  20.4488
3725982328.3513,  71.7900,  20.6895
3911380976.1610,  71.5425,  21.0206
4096779623.9707,  71.2270,  21.3448
4282178271.7804,  70.8998,  21.6182
4467576919.5901,  70.5564,  21.8440
4652975567.3998,  70.3143,  22.1081
4838374215.2095,  70.0389,  22.4044
5023772863.0192,  69.7661,  22.7550
5317609917.8242,  69.2796,  23.3319
5611446972.6293,  68.7283,  23.8946
5905284027.4344,  68.1882,  24.4221
6199121082.2395,  67.6463,  24.9810
6492958137.0446,  67.0715,  25.5346
6786795191.8496,  66.4980,  26.1078
7080632246.6547,  65.8817,  26.6508
7374469301.4598,  65.2798,  27.1726
7668306356.2649,  64.6570,  27.7160
7962143411.0699,  64.0032,  28.2177
8427843758.9233,  62.9729,  29.0062
8893544106.7767,  61.9253,  29.7461
9359244454.6301,  60.8586,  30.4534
9824944802.4835,  59.7864,  31.1077
10290645150.3369,  58.7017,  31.7208
10756345498.1903,  57.6106,  32.2846
11222045846.0437,  56.5223,  32.8232
11687746193.8971,  55.4221,  33.3039
12153446541.7505,  54.3299,  33.7464
12619146889.6039,  53.2516,  34.1456
13357232200.6435,  51.5698,  34.7244
14095317511.6831,  49.8961,  35.1438
14833402822.7227,  48.2607,  35.5228
15571488133.7623,  46.6619,  35.7835
16309573444.8019,  45.1207,  36.0116
17047658755.8416,  43.5930,  36.1182
17785744066.8812,  42.1704,  36.1984
18523829377.9208,  40.7390,  36.2210
19261914688.9604,  39.4078,  36.1292
20000000000.0000,  38.1179,  36.0949

