85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 19:01:01"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  60.1120,  73.0329
 211697863.8492,  59.6690,  69.2443
 223395727.6984,  59.1899,  65.7396
 235093591.5477,  58.8198,  62.5902
 246791455.3969,  58.5556,  59.7893
 258489319.2461,  58.2440,  57.2379
 270187183.0953,  57.9783,  54.8566
 281885046.9446,  57.7238,  52.7861
 293582910.7938,  57.5135,  50.8039
 305280774.6430,  57.3236,  49.0918
 316978638.4922,  57.1588,  47.4858
 335518503.2732,  56.8879,  45.0550
 354058368.0542,  56.6507,  42.9034
 372598232.8351,  56.2882,  40.9650
 391138097.6161,  56.1672,  39.3705
 409677962.3971,  55.9440,  37.8107
 428217827.1780,  55.7379,  36.4147
 446757691.9590,  55.5972,  35.1050
 465297556.7400,  55.4293,  33.9008
 483837421.5209,  55.2728,  32.7757
 502377286.3019,  55.1798,  31.7944
 531760991.7824,  54.8378,  30.3171
 561144697.2629,  54.7523,  29.0553
 590528402.7434,  54.4029,  27.9393
 619912108.2239,  54.3549,  26.9212
 649295813.7045,  54.1655,  26.0229
 678679519.1850,  53.8708,  25.0792
 708063224.6655,  53.8287,  24.2721
 737446930.1460,  53.6823,  23.5544
 766830635.6265,  53.5254,  22.8799
 796214341.1070,  53.3997,  22.2576
 842784375.8923,  53.2688,  21.2010
 889354410.6777,  53.2079,  20.5608
 935924445.4630,  52.8878,  19.7869
 982494480.2484,  52.8210,  18.9008
1029064515.0337,  53.2462,  18.5660
1075634549.8190,  52.8501,  18.3347
1122204584.6044,  52.5070,  17.7435
1168774619.3897,  52.6259,  17.1708
1215344654.1750,  52.6268,  16.9065
1261914688.9604,  52.6721,  16.7094
1335723220.0643,  52.3600,  16.3929
1409531751.1683,  52.2974,  16.0322
1483340282.2723,  52.0481,  15.7934
1557148813.3762,  51.7956,  15.5579
1630957344.4802,  51.6024,  15.3105
1704765875.5842,  51.3531,  15.0887
1778574406.6881,  51.1851,  14.8614
1852382937.7921,  51.0211,  14.6477
1926191468.8960,  50.8645,  14.4994
2000000000.0000,  50.7009,  14.3037
2116978638.4922,  50.4303,  14.0187
2233957276.9844,  50.3911,  13.7811
2350935915.4767,  50.3395,  13.6963
2467914553.9689,  50.2670,  13.7400
2584893192.4611,  50.0266,  13.8105
2701871830.9533,  49.8295,  13.8316
2818850469.4456,  49.6269,  13.8771
2935829107.9378,  49.3661,  13.9012
3052807746.4300,  49.0930,  13.9164
3169786384.9222,  48.8882,  13.8677
3355185032.7319,  48.6308,  13.8571
3540583680.5416,  48.4288,  13.9080
3725982328.3513,  48.2488,  14.0695
3911380976.1610,  47.9611,  14.2529
4096779623.9707,  47.6694,  14.4192
4282178271.7804,  47.3887,  14.5871
4467576919.5901,  47.0591,  14.7143
4652975567.3998,  46.8202,  14.8283
4838374215.2095,  46.5964,  14.9886
5023772863.0192,  46.3392,  15.1875
5317609917.8242,  45.9157,  15.4985
5611446972.6293,  45.4605,  15.7881
5905284027.4344,  45.0529,  16.0694
6199121082.2395,  44.6016,  16.3538
6492958137.0446,  44.2055,  16.6308
6786795191.8496,  43.7381,  16.9384
7080632246.6547,  43.3342,  17.1863
7374469301.4598,  42.8844,  17.4645
7668306356.2649,  42.4733,  17.7206
7962143411.0699,  42.0253,  17.9864
8427843758.9233,  41.3318,  18.3708
8893544106.7767,  40.6617,  18.7229
9359244454.6301,  39.9820,  19.0755
9824944802.4835,  39.3240,  19.3892
10290645150.3369,  38.6472,  19.7093
10756345498.1903,  38.0085,  19.9887
11222045846.0437,  37.3557,  20.2526
11687746193.8971,  36.7083,  20.4987
12153446541.7505,  36.0562,  20.7310
12619146889.6039,  35.4317,  20.9332
13357232200.6435,  34.4391,  21.2434
14095317511.6831,  33.4691,  21.4342
14833402822.7227,  32.5250,  21.6167
15571488133.7623,  31.6164,  21.7277
16309573444.8019,  30.7616,  21.8367
17047658755.8416,  29.9093,  21.8470
17785744066.8812,  29.1429,  21.9025
18523829377.9208,  28.3636,  21.8872
19261914688.9604,  27.6566,  21.8258
20000000000.0000,  26.9677,  21.8272

