85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 15:47:29"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  82.6749, 149.7251
 211697863.8492,  82.0809, 141.0616
 223395727.6984,  81.6730, 133.1468
 235093591.5477,  81.2699, 126.1275
 246791455.3969,  80.9439, 119.7799
 258489319.2461,  80.6723, 114.1551
 270187183.0953,  80.3943, 108.9374
 281885046.9446,  80.1031, 104.3313
 293582910.7938,  79.8803,  99.9673
 305280774.6430,  79.8229,  96.0160
 316978638.4922,  79.6203,  92.4327
 335518503.2732,  79.3576,  87.2029
 354058368.0542,  79.2061,  82.5470
 372598232.8351,  79.0007,  78.6161
 391138097.6161,  78.8021,  74.8019
 409677962.3971,  78.6453,  71.4871
 428217827.1780,  78.5611,  68.5077
 446757691.9590,  78.4078,  65.7496
 465297556.7400,  78.2541,  63.2198
 483837421.5209,  78.1225,  60.8869
 502377286.3019,  78.0226,  58.7576
 531760991.7824,  77.7571,  55.5765
 561144697.2629,  77.6891,  52.8479
 590528402.7434,  77.6024,  50.3392
 619912108.2239,  77.5434,  48.3057
 649295813.7045,  77.4454,  46.3119
 678679519.1850,  77.1564,  44.4851
 708063224.6655,  77.1394,  42.7864
 737446930.1460,  76.9738,  41.2317
 766830635.6265,  76.8033,  39.7592
 796214341.1070,  76.7557,  38.1976
 842784375.8923,  77.2021,  36.0424
 889354410.6777,  77.0979,  34.9724
 935924445.4630,  77.4668,  32.9961
 982494480.2484,  77.6397,  32.6583
1029064515.0337,  77.2617,  31.6898
1075634549.8190,  77.1030,  30.4619
1122204584.6044,  77.0850,  29.7577
1168774619.3897,  76.9154,  29.0130
1215344654.1750,  76.7896,  28.2787
1261914688.9604,  76.7012,  27.5545
1335723220.0643,  76.5440,  26.6619
1409531751.1683,  76.3635,  25.8254
1483340282.2723,  76.1221,  24.9487
1557148813.3762,  76.0329,  24.2861
1630957344.4802,  75.9059,  23.5912
1704765875.5842,  75.8798,  22.8202
1778574406.6881,  76.0973,  22.4111
1852382937.7921,  76.0778,  22.0254
1926191468.8960,  76.1594,  21.7356
2000000000.0000,  76.2247,  21.6356
2116978638.4922,  75.9813,  21.5484
2233957276.9844,  75.7043,  21.3582
2350935915.4767,  75.4199,  21.0857
2467914553.9689,  75.1875,  20.7741
2584893192.4611,  75.1239,  20.5574
2701871830.9533,  75.0419,  20.4057
2818850469.4456,  75.0573,  20.3129
2935829107.9378,  75.0673,  20.4055
3052807746.4300,  74.9008,  20.5918
3169786384.9222,  74.6579,  20.6957
3355185032.7319,  74.3465,  20.7866
3540583680.5416,  74.0557,  20.8663
3725982328.3513,  73.8753,  20.9900
3911380976.1610,  73.7067,  21.2785
4096779623.9707,  73.4102,  21.6049
4282178271.7804,  73.0983,  21.8939
4467576919.5901,  72.8030,  22.1728
4652975567.3998,  72.5321,  22.4580
4838374215.2095,  72.2537,  22.7925
5023772863.0192,  71.9541,  23.1450
5317609917.8242,  71.4433,  23.7055
5611446972.6293,  70.9095,  24.2674
5905284027.4344,  70.3885,  24.8355
6199121082.2395,  69.8362,  25.4171
6492958137.0446,  69.2653,  25.9812
6786795191.8496,  68.6813,  26.5588
7080632246.6547,  68.0644,  27.1239
7374469301.4598,  67.4572,  27.6741
7668306356.2649,  66.8232,  28.2168
7962143411.0699,  66.1959,  28.7529
8427843758.9233,  65.1656,  29.5756
8893544106.7767,  64.1046,  30.3421
9359244454.6301,  63.0262,  31.0836
9824944802.4835,  61.9381,  31.7671
10290645150.3369,  60.8405,  32.4214
10756345498.1903,  59.7375,  33.0198
11222045846.0437,  58.6360,  33.5882
11687746193.8971,  57.5256,  34.0919
12153446541.7505,  56.4186,  34.5641
12619146889.6039,  55.3210,  34.9854
13357232200.6435,  53.5851,  35.5829
14095317511.6831,  51.8754,  36.0790
14833402822.7227,  50.2133,  36.4794
15571488133.7623,  48.5753,  36.7913
16309573444.8019,  46.9857,  37.0306
17047658755.8416,  45.4368,  37.1879
17785744066.8812,  43.9383,  37.2872
18523829377.9208,  42.5004,  37.3223
19261914688.9604,  41.1040,  37.3112
20000000000.0000,  39.7567,  37.2495

