85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:59:35"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  57.1544,  77.1084
 211697863.8492,  56.7359,  73.0044
 223395727.6984,  56.2870,  69.3853
 235093591.5477,  55.9230,  65.9807
 246791455.3969,  55.6487,  62.8875
 258489319.2461,  55.3789,  60.0902
 270187183.0953,  55.1224,  57.5935
 281885046.9446,  54.8922,  55.4047
 293582910.7938,  54.6873,  53.2760
 305280774.6430,  54.4807,  51.4566
 316978638.4922,  54.3399,  49.6832
 335518503.2732,  54.1031,  47.1181
 354058368.0542,  53.8698,  44.8286
 372598232.8351,  53.5382,  42.7307
 391138097.6161,  53.3923,  41.0419
 409677962.3971,  53.1979,  39.4009
 428217827.1780,  52.9847,  37.8686
 446757691.9590,  52.8484,  36.5034
 465297556.7400,  52.6963,  35.2251
 483837421.5209,  52.5518,  34.0460
 502377286.3019,  52.4675,  32.9695
 531760991.7824,  52.2564,  31.4215
 561144697.2629,  52.0741,  30.0667
 590528402.7434,  51.7216,  28.9144
 619912108.2239,  51.6913,  27.7872
 649295813.7045,  51.5085,  26.8079
 678679519.1850,  51.2103,  25.8516
 708063224.6655,  51.1622,  24.9321
 737446930.1460,  51.0273,  24.1587
 766830635.6265,  50.8653,  23.4404
 796214341.1070,  50.7582,  22.7842
 842784375.8923,  50.6434,  21.6668
 889354410.6777,  50.5911,  20.9740
 935924445.4630,  50.2894,  20.1423
 982494480.2484,  50.2246,  19.2077
1029064515.0337,  50.6272,  18.8351
1075634549.8190,  50.2514,  18.5481
1122204584.6044,  49.9322,  17.9194
1168774619.3897,  50.0357,  17.3227
1215344654.1750,  50.0326,  17.0253
1261914688.9604,  50.0790,  16.7937
1335723220.0643,  49.7822,  16.4068
1409531751.1683,  49.7323,  15.9991
1483340282.2723,  49.5001,  15.7287
1557148813.3762,  49.2567,  15.4471
1630957344.4802,  49.0790,  15.1606
1704765875.5842,  48.8501,  14.8993
1778574406.6881,  48.6875,  14.6444
1852382937.7921,  48.5373,  14.3849
1926191468.8960,  48.3945,  14.2061
2000000000.0000,  48.2407,  13.9976
2116978638.4922,  47.9929,  13.6742
2233957276.9844,  47.9662,  13.3914
2350935915.4767,  47.9290,  13.2590
2467914553.9689,  47.8730,  13.2679
2584893192.4611,  47.6493,  13.3059
2701871830.9533,  47.4599,  13.2900
2818850469.4456,  47.2819,  13.3018
2935829107.9378,  47.0447,  13.3054
3052807746.4300,  46.7953,  13.3032
3169786384.9222,  46.5957,  13.2284
3355185032.7319,  46.3692,  13.1749
3540583680.5416,  46.1928,  13.1814
3725982328.3513,  46.0404,  13.2978
3911380976.1610,  45.7877,  13.4449
4096779623.9707,  45.5244,  13.5756
4282178271.7804,  45.2734,  13.7044
4467576919.5901,  44.9861,  13.8126
4652975567.3998,  44.7719,  13.9025
4838374215.2095,  44.5764,  14.0256
5023772863.0192,  44.3635,  14.1990
5317609917.8242,  43.9841,  14.4851
5611446972.6293,  43.5910,  14.7502
5905284027.4344,  43.2300,  14.9991
6199121082.2395,  42.8191,  15.2836
6492958137.0446,  42.4805,  15.5229
6786795191.8496,  42.0550,  15.8515
7080632246.6547,  41.6830,  16.0718
7374469301.4598,  41.2795,  16.3689
7668306356.2649,  40.8777,  16.6034
7962143411.0699,  40.4753,  16.8697
8427843758.9233,  39.8116,  17.2422
8893544106.7767,  39.1853,  17.5975
9359244454.6301,  38.5344,  17.9279
9824944802.4835,  37.8843,  18.2416
10290645150.3369,  37.2438,  18.5594
10756345498.1903,  36.6253,  18.8091
11222045846.0437,  35.9797,  19.0448
11687746193.8971,  35.3557,  19.2613
12153446541.7505,  34.7269,  19.4544
12619146889.6039,  34.1410,  19.6211
13357232200.6435,  33.2102,  19.8707
14095317511.6831,  32.3277,  20.0143
14833402822.7227,  31.4728,  20.1624
15571488133.7623,  30.6578,  20.2565
16309573444.8019,  29.8864,  20.3602
17047658755.8416,  29.1181,  20.3745
17785744066.8812,  28.4202,  20.4433
18523829377.9208,  27.7084,  20.4419
19261914688.9604,  27.0602,  20.4053
20000000000.0000,  26.4284,  20.4151

